Name	secondary_cluster	cluster_size	Completeness	Contamination	Genome_Size	GC_Content	domain	phylum	class	order	family	genus	species	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	genome	threshold	cluster_method	comparison_algorithm	primary_cluster	user_genome	classification	GC (%)	L50	L90	Largest contig	N50	N90	Total length	Total length (>= 0 bp)	Total length (>= 1000 bp)	auN	CDSs	CRISPR arrays	gaps	hypotheticals	ncRNA regions	ncRNAs	oriCs	oriTs	oriVs	pseudogenes	rRNAs	sORFs	signal peptides	tRNAs	tmRNAs
ERR9966619_bin_15	29_0	1	6.38	0.0	60706	0.44								Gradient Boost (General Model)	11	0.241	1356	89.0909090909091	55	44	3009		ERR9966619_bin_15	0.05	average	ANImf	29	ERR9966619_bin_15	Unclassified	44.5	17.0	39.0	3009.0	1356.0	1033.0	60706.0	60706.0	60706.0	1518.0	10	0	0	10	0	0	0	0	0	0	1	0	0	0	0
ERR9966619_bin_170	51_0	1	9.86	0.95	1097310	0.33								Neural Network (Specific Model)	11	0.296	1698	82.99242424242425	1320	627	3337		ERR9966619_bin_170	0.05	average	ANImf	51	ERR9966619_bin_170	Unclassified Archaea	33.31	281.0	555.0	3337.0	1698.0	1524.0	1097310.0	1097310.0	1097310.0	1786.1	1079	0	0	1073	0	0	0	0	0	2	2	0	0	1	0
ERR9966619_bin_246	61_0	1	2.5	0.0	86575	0.44								Neural Network (Specific Model)	11	0.494	2832	133.25	108	31	3066		ERR9966619_bin_246	0.05	average	ANImf	61	ERR9966619_bin_246	Unclassified	44.46	15.0	28.0	3066.0	2832.0	2544.0	86575.0	86575.0	86575.0	2803.9	83	0	0	83	0	0	0	0	0	0	0	0	0	0	0
ERR9966619_bin_298	90_0	1	9.6	0.98	851843	0.57								Neural Network (Specific Model)	11	0.821	1697	187.5191693290735	1252	553	5445		ERR9966619_bin_298	0.05	average	ANImf	90	ERR9966619_bin_298	Unclassified Bacteria	57.5	223.0	471.0	5445.0	1697.0	1077.0	851843.0	851843.0	851843.0	1645.4	1197	0	0	1188	0	0	0	0	0	0	0	0	0	5	0
ERR9966619_bin_328	59_1	2	61.13	12.73	2788710	0.48								Gradient Boost (General Model)	4	0.738	1568	144.9247446320617	4797	1777	5464		ERR9966619_bin_328	0.05	average	ANImf	59	ERR9966619_bin_328	Unclassified	48.32	654.0	1512.0	5464.0	1568.0	1102.0	2788710.0	2788710.0	2788710.0	1795.2	4615	0	0	4597	0	0	0	0	0	1	0	0	0	0	0
ERR9966619_bin_352	55_0	1	42.47	9.57	7803169	0.35								Gradient Boost (General Model)	11	0.335	1170	79.47400143936667	11116	6529	5027	Low confidence prediction - substantial (57%) disagreement between completeness prediction models	ERR9966619_bin_352	0.05	average	ANImf	55	ERR9966619_bin_352	Unclassified Bacteria	34.7	2904.0	5760.0	5027.0	1170.0	1028.0	7803169.0	7803169.0	7803169.0	1228.4	8335	0	0	8303	0	0	0	0	0	5	5	0	0	19	0
ERR9966619_bin_48	16_0	1	8.31	0.02	148447	0.27								Neural Network (Specific Model)	4	0.754	1788	263.13380281690144	142	85	5424		ERR9966619_bin_48	0.05	average	ANImf	16	ERR9966619_bin_48	Unclassified	27.44	28.0	71.0	5424.0	1788.0	1050.0	148447.0	148447.0	148447.0	2208.4	202	0	0	166	0	0	0	0	0	4	0	2	0	7	0
ERR9966619_bin_50	66_0	1	3.91	0.0	86644	0.65								Neural Network (Specific Model)	11	0.6	1301	150.3706896551724	116	65	2485		ERR9966619_bin_50	0.05	average	ANImf	66	ERR9966619_bin_50	Unclassified	65.47	27.0	57.0	2485.0	1301.0	1037.0	86644.0	86644.0	86644.0	1421.8	108	0	0	108	0	0	0	0	0	0	0	0	0	0	0
ERR9966619_bin_58	13_0	1	4.77	0.02	207767	0.31								Neural Network (Specific Model)	11	0.524	1565	123.35932203389832	295	124	7969		ERR9966619_bin_58	0.05	average	ANImf	13	ERR9966619_bin_58	Unclassified	31.11	42.0	105.0	7969.0	1565.0	1105.0	207767.0	207767.0	207767.0	2301.3	242	0	0	227	0	0	0	0	0	3	3	0	0	30	0
ERR9966619_bin_59	213_0	1	8.28	0.0	322281	0.43								Neural Network (Specific Model)	11	0.861	1283	191.49380165289256	484	234	5261		ERR9966619_bin_59	0.05	average	ANImf	213	ERR9966619_bin_59	Unclassified Bacteria	42.94	90.0	203.0	5261.0	1283.0	1039.0	322281.0	322281.0	322281.0	1593.9	307	0	0	122	0	0	0	0	0	7	0	0	0	0	0
ERR9966619_bin_63	5_0	1	2.33	0.0	61860	0.39								Neural Network (Specific Model)	11	0.321	1163	90.36486486486488	74	51	2277		ERR9966619_bin_63	0.05	average	ANImf	5	ERR9966619_bin_63	Unclassified	38.65	23.0	45.0	2277.0	1163.0	1028.0	61860.0	61860.0	61860.0	1259.6	17	0	0	17	0	0	0	0	0	0	0	0	0	0	0
ERR9966619_bin_79	12_0	1	6.38	0.0	78540	0.4								Gradient Boost (General Model)	11	0.211	1328	97.10344827586206	58	60	2342		ERR9966619_bin_79	0.05	average	ANImf	12	ERR9966619_bin_79	Unclassified	40.22	25.0	53.0	2342.0	1328.0	1026.0	78540.0	78540.0	78540.0	1382.0	50	0	0	50	0	0	0	0	0	0	1	0	0	11	0
ERR9966619_bin_83	48_0	1	8.53	0.06	566330	0.46								Neural Network (Specific Model)	11	0.569	1156	128.60404280618312	841	473	2575		ERR9966619_bin_83	0.05	average	ANImf	48	ERR9966619_bin_83	Unclassified	45.54	209.0	418.0	2575.0	1156.0	1025.0	566330.0	566330.0	566330.0	1237.3	719	0	0	717	0	0	0	0	0	0	1	0	0	5	0
ERR9966620_bin_1002	141_0	1	19.57	5.15	1055723	0.49								Neural Network (Specific Model)	4	0.711	1294	155.52673632452365	1627	769	4536		ERR9966620_bin_1002	0.05	average	ANImf	141	ERR9966620_bin_1002	Unclassified	48.64	298.0	666.0	4536.0	1294.0	1037.0	1055723.0	1055723.0	1055723.0	1507.5	1370	0	0	1367	0	0	0	0	0	0	16	0	0	22	0
ERR9966620_bin_1091	188_0	1	57.06	8.82	2744751	0.48								Gradient Boost (General Model)	11	0.64	1450	97.15987614080836	6136	1860	5119		ERR9966620_bin_1091	0.05	average	ANImf	188	ERR9966620_bin_1091	Unclassified Bacteria	48.0	755.0	1605.0	5119.0	1450.0	1136.0	2744751.0	2744751.0	2744751.0	1585.9	4949	0	0	4945	0	0	0	0	0	0	0	0	0	12	0
ERR9966620_bin_1469	154_1	6	55.92	3.73	43499712	0.52	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	CAHJXG01		Gradient Boost (General Model)	4	0.836	1894	160.60743693975402	76752	22321	27845	Low confidence prediction - substantial (44%) disagreement between completeness prediction models	ERR9966620_bin_1469	0.05	average	ANImf	154	ERR9966620_bin_1469	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	51.61	5870.0	18191.0	27845.0	1894.0	1114.0	43499712.0	43499712.0	43499712.0	3020.6	73538	0	0	72226	5	2	0	0	0	21	21	1	0	226	0
ERR9966620_bin_16	20_0	1	5.96	0.0	67403	0.32								Gradient Boost (General Model)	11	0.25	1264	128.11363636363637	44	52	2507		ERR9966620_bin_16	0.05	average	ANImf	20	ERR9966620_bin_16	Unclassified Archaea	31.95	22.0	46.0	2507.0	1264.0	1024.0	67403.0	67403.0	67403.0	1374.4	26	0	0	26	0	0	0	0	0	0	0	0	0	5	0
ERR9966620_bin_19	31_0	1	6.38	0.0	100105	0.42								Gradient Boost (General Model)	11	0.182	1248	115.1509433962264	53	77	2467		ERR9966620_bin_19	0.05	average	ANImf	31	ERR9966620_bin_19	Unclassified	41.5	32.0	68.0	2467.0	1248.0	1030.0	100105.0	100105.0	100105.0	1380.2	7	0	0	7	0	0	0	0	0	0	0	0	0	3	0
ERR9966620_bin_31	26_0	1	2.61	0.0	81477	0.45								Neural Network (Specific Model)	11	0.725	1692	189.3904761904762	105	47	5461		ERR9966620_bin_31	0.05	average	ANImf	26	ERR9966620_bin_31	Unclassified	44.93	15.0	40.0	5461.0	1692.0	1102.0	81477.0	81477.0	81477.0	2246.9	96	0	0	96	0	0	0	0	0	0	0	0	0	0	0
ERR9966620_bin_676	181_0	1	2.4	0.0	72786	0.47								Neural Network (Specific Model)	11	0.454	2629	122.7912087912088	91	25	4896		ERR9966620_bin_676	0.05	average	ANImf	181	ERR9966620_bin_676	Unclassified	47.47	11.0	23.0	4896.0	2629.0	2511.0	72786.0	72786.0	72786.0	3048.3	57	0	0	57	0	0	0	0	0	0	0	0	0	0	0
ERR9966620_bin_7	42_0	1	2.36	0.0	51473	0.34								Neural Network (Specific Model)	11	0.508	1367	174.66	50	40	2537		ERR9966620_bin_7	0.05	average	ANImf	42	ERR9966620_bin_7	Unclassified	34.25	17.0	35.0	2537.0	1367.0	1038.0	51473.0	51473.0	51473.0	1346.3	50	0	0	49	0	0	0	0	0	0	0	0	0	0	0
ERR9966620_bin_86	18_0	1	3.09	0.0	60276	0.34								Neural Network (Specific Model)	11	0.436	1186	140.11111111111111	63	49	1924		ERR9966620_bin_86	0.05	average	ANImf	18	ERR9966620_bin_86	Unclassified	34.36	21.0	44.0	1924.0	1186.0	1025.0	60276.0	60276.0	60276.0	1273.2	54	0	0	50	0	0	0	0	0	0	1	0	0	12	0
ERR9966621_bin_1050	116_0	1	11.28	0.1	621438	0.51								Neural Network (Specific Model)	4	0.797	1824	152.12534059945503	1101	341	2548		ERR9966621_bin_1050	0.05	average	ANImf	116	ERR9966621_bin_1050	Unclassified	50.8	152.0	301.0	2548.0	1824.0	1546.0	621438.0	621438.0	621438.0	1856.8	961	0	0	959	0	0	0	0	0	0	0	0	0	8	0
ERR9966621_bin_1098	147_0	1	8.94	0.13	587888	0.51								Neural Network (Specific Model)	11	0.65	2168	118.27879341864715	1094	266	12192		ERR9966621_bin_1098	0.05	average	ANImf	147	ERR9966621_bin_1098	Unclassified	51.18	109.0	230.0	12192.0	2168.0	1705.0	587888.0	587888.0	587888.0	2540.4	916	0	0	913	0	0	0	0	0	0	0	0	0	2	0
ERR9966621_bin_1212	100_0	1	2.72	0.0	63158	0.52								Neural Network (Specific Model)	11	0.558	2528	142.10843373493975	83	24	5108		ERR9966621_bin_1212	0.05	average	ANImf	100	ERR9966621_bin_1212	Unclassified	51.51	12.0	22.0	5108.0	2528.0	2506.0	63158.0	63158.0	63158.0	2733.0	56	0	0	56	0	0	0	0	0	0	0	0	0	0	0
ERR9966621_bin_1406	178_0	1	37.19	10.88	2829682	0.5								Gradient Boost (General Model)	4	0.823	4615	160.1028848093605	4957	600	13592		ERR9966621_bin_1406	0.05	average	ANImf	178	ERR9966621_bin_1406	Unclassified	50.37	251.0	519.0	13592.0	4615.0	3900.0	2829682.0	2829682.0	2829682.0	4982.4	5012	0	0	5003	0	0	0	0	0	1	0	0	0	8	0
ERR9966621_bin_1706	150_0	1	12.14	0.93	755322	0.54								Neural Network (Specific Model)	11	0.724	3518	143.9805144193297	1283	239	7936		ERR9966621_bin_1706	0.05	average	ANImf	150	ERR9966621_bin_1706	Unclassified Archaea	53.71	98.0	198.0	7936.0	3518.0	2080.0	755322.0	755322.0	755322.0	3441.6	1171	0	0	1170	0	0	0	0	0	1	0	0	0	4	0
ERR9966621_bin_22	1_1	2	6.38	0.0	50609	0.4								Gradient Boost (General Model)	11	0.06	1680	57.0	18	29	6290		ERR9966621_bin_22	0.05	average	ANImf	1	ERR9966621_bin_22	Unclassified	39.54	9.0	25.0	6290.0	1680.0	1072.0	50609.0	50609.0	50609.0	2552.2	8	0	0	8	0	0	0	0	0	0	0	0	0	0	0
ERR9966621_bin_285	126_0	1	1.72	0.0	69371	0.5								Neural Network (Specific Model)	11	0.558	2532	140.32258064516128	93	23	5086		ERR9966621_bin_285	0.05	average	ANImf	126	ERR9966621_bin_285	Unclassified	50.09	10.0	21.0	5086.0	2532.0	2505.0	69371.0	69371.0	69371.0	3219.9	85	0	0	85	0	0	0	0	0	0	0	0	0	0	0
ERR9966621_bin_537	121_0	1	3.59	0.0	174395	0.52								Neural Network (Specific Model)	11	0.59	1848	133.3153846153846	260	95	2462		ERR9966621_bin_537	0.05	average	ANImf	121	ERR9966621_bin_537	Unclassified	51.84	43.0	84.0	2462.0	1848.0	1552.0	174395.0	174395.0	174395.0	1866.8	193	0	0	193	0	0	0	0	0	0	0	0	0	1	0
ERR9966621_bin_599	169_0	1	34.86	11.07	2591092	0.53								Gradient Boost (General Model)	4	0.847	2390	163.0253829321663	4570	1005	14948		ERR9966621_bin_599	0.05	average	ANImf	169	ERR9966621_bin_599	Unclassified Archaea	52.84	359.0	850.0	14948.0	2390.0	1812.0	2591092.0	2591092.0	2591092.0	3084.2	4207	0	0	4200	0	0	0	0	0	1	0	0	0	12	0
ERR9966621_bin_6584	140_0	1	14.48	0.72	771143	0.47								Neural Network (Specific Model)	4	0.82	4138	304.6235632183908	696	172	23023		ERR9966621_bin_6584	0.05	average	ANImf	140	ERR9966621_bin_6584	Unclassified Bacteria	46.66	60.0	141.0	23023.0	4138.0	3493.0	771143.0	771143.0	771143.0	6081.7	734	0	0	725	0	0	0	0	0	0	3	0	0	25	0
ERR9966623_bin_17123	151_0	1	67.63	15.74	99179557	0.47								Gradient Boost (General Model)	4	0.763	1980	132.57393355895883	194127	52047	41873	Low confidence prediction - substantial (32%) disagreement between completeness prediction models	ERR9966623_bin_17123	0.05	average	ANImf	151	ERR9966623_bin_17123	Unclassified Archaea	46.96	16535.0	42713.0	41873.0	1980.0	1134.0	99179557.0	99179557.0	99179557.0	2642.1	163137	0	0	162513	0	5	0	0	0	65	88	1	0	357	0
ERR9966623_bin_1792	148_0	1	4.14	0.01	249527	0.52								Neural Network (Specific Model)	11	0.577	2833	130.13941018766755	373	87	4682		ERR9966623_bin_1792	0.05	average	ANImf	148	ERR9966623_bin_1792	Unclassified	51.55	40.0	78.0	4682.0	2833.0	2558.0	249527.0	249527.0	249527.0	2918.5	329	0	0	327	0	0	0	0	0	0	0	0	0	4	0
ERR9966623_bin_4963	196_0	1	2.41	0.0	64976	0.52								Neural Network (Specific Model)	11	0.57	2309	146.2941176470588	85	28	2470		ERR9966623_bin_4963	0.05	average	ANImf	196	ERR9966623_bin_4963	Unclassified	52.35	14.0	26.0	2470.0	2309.0	2211.0	64976.0	64976.0	64976.0	2323.5	74	0	0	74	0	0	0	0	0	0	0	0	0	0	0
ERR9966623_bin_8232	167_0	1	58.16	11.43	1984814	0.5								Gradient Boost (General Model)	4	0.824	3077	159.22657142857142	3500	547	39831		ERR9966623_bin_8232	0.05	average	ANImf	167	ERR9966623_bin_8232	Unclassified Archaea	50.36	196.0	471.0	39831.0	3077.0	2660.0	1984814.0	1984814.0	1984814.0	7854.6	3516	0	0	3512	0	0	0	0	0	3	2	0	0	11	0
ERR9966623_bin_8245	171_1	4	40.92	5.2	28081027	0.54								Gradient Boost (General Model)	4	0.839	1558	157.03261019216018	50843	15640	29719	Low confidence prediction - substantial (58%) disagreement between completeness prediction models	ERR9966623_bin_8245	0.05	average	ANImf	171	ERR9966623_bin_8245	Unclassified Archaea	54.0	4251.0	12955.0	29719.0	1558.0	1094.0	28081027.0	28081027.0	28081027.0	3137.5	46384	0	0	45905	6	6	0	0	0	26	11	0	0	80	0
ERR9966624_bin_1915	109_0	1	59.49	8.7	2579262	0.6								Gradient Boost (General Model)	4	0.859	1247	230.34054388133495	3236	2077	3564		ERR9966624_bin_1915	0.05	average	ANImf	109	ERR9966624_bin_1915	Unclassified Archaea	59.92	922.0	1826.0	3564.0	1247.0	1047.0	2579262.0	2579262.0	2579262.0	1269.8	4344	0	0	4342	0	0	0	0	0	0	0	0	0	14	0
ERR9966624_bin_2443	46_0	1	8.12	0.02	381357	0.51								Neural Network (Specific Model)	4	0.728	1262	183.35433070866145	508	275	6305		ERR9966624_bin_2443	0.05	average	ANImf	46	ERR9966624_bin_2443	Unclassified	50.52	101.0	238.0	6305.0	1262.0	1026.0	381357.0	381357.0	381357.0	1727.4	436	1	0	429	0	0	0	0	0	0	1	0	0	9	0
ERR9966624_bin_2591	91_0	1	29.43	0.13	684685	0.54								Neural Network (Specific Model)	4	0.837	1709	198.80061983471077	968	385	11483		ERR9966624_bin_2591	0.05	average	ANImf	91	ERR9966624_bin_2591	Unclassified Bacteria	53.97	138.0	324.0	11483.0	1709.0	1194.0	684685.0	684685.0	684685.0	2254.5	963	0	0	961	0	0	0	0	0	1	0	0	0	1	0
ERR9966624_bin_2717	168_0	1	34.79	8.04	3000298	0.51								Gradient Boost (General Model)	11	0.706	4168	123.62125902992776	5814	723	7615		ERR9966624_bin_2717	0.05	average	ANImf	168	ERR9966624_bin_2717	Unclassified	51.33	334.0	635.0	7615.0	4168.0	3825.0	3000298.0	3000298.0	3000298.0	4210.5	5409	0	0	5407	0	0	0	0	0	0	0	0	0	15	0
ERR9966624_bin_2765	63_0	1	99.98	26.55	10831390	0.54								Neural Network (Specific Model)	4	0.853	6214	156.92589827809297	20094	1870	22402	Low confidence prediction - substantial (51%) disagreement between completeness prediction models	ERR9966624_bin_2765	0.05	average	ANImf	63	ERR9966624_bin_2765	Unclassified Archaea	53.55	592.0	1502.0	22402.0	6214.0	3705.0	10831390.0	10831390.0	10831390.0	7297.7	20836	0	0	20823	0	0	0	0	0	4	0	0	0	3	0
ERR9966624_bin_3347	107_0	1	41.16	8.76	1978360	0.54								Gradient Boost (General Model)	11	0.759	1303	118.96978922716627	4270	1494	5007		ERR9966624_bin_3347	0.05	average	ANImf	107	ERR9966624_bin_3347	Unclassified Archaea	54.07	633.0	1303.0	5007.0	1303.0	1063.0	1978360.0	1978360.0	1978360.0	1415.6	3359	0	0	3357	0	0	0	0	0	0	0	0	0	13	0
ERR9966624_bin_349	49_0	1	59.92	10.24	2313143	0.6								Gradient Boost (General Model)	4	0.801	1853	202.44931773879145	3078	1228	5243		ERR9966624_bin_349	0.05	average	ANImf	49	ERR9966624_bin_349	Unclassified Archaea	59.95	535.0	1078.0	5243.0	1853.0	1569.0	2313143.0	2313143.0	2313143.0	1961.7	4142	0	0	4138	0	0	0	0	0	2	0	0	0	8	0
ERR9966624_bin_3643	58_0	1	27.78	6.58	1793551	0.37								Neural Network (Specific Model)	11	0.551	1325	127.55069124423964	2604	1278	12389		ERR9966624_bin_3643	0.05	average	ANImf	58	ERR9966624_bin_3643	Unclassified	37.31	484.0	1103.0	12389.0	1325.0	1042.0	1793551.0	1793551.0	1793551.0	1755.0	2062	0	0	2032	0	0	0	0	0	1	6	0	0	7	0
ERR9966624_bin_404	211_0	1	13.03	3.0	699009	0.53								Neural Network (Specific Model)	11	0.738	3325	110.49717159019484	1591	202	23015		ERR9966624_bin_404	0.05	average	ANImf	211	ERR9966624_bin_404	Unclassified Archaea	53.22	92.0	179.0	23015.0	3325.0	3059.0	699009.0	699009.0	699009.0	4052.3	1450	0	0	1450	0	0	0	0	0	0	0	0	0	0	0
ERR9966624_bin_516	108_0	1	36.81	7.09	2212280	0.54								Neural Network (Specific Model)	11	0.759	1937	123.1919497944168	4621	1101	6108		ERR9966624_bin_516	0.05	average	ANImf	108	ERR9966624_bin_516	Unclassified Bacteria	53.97	455.0	958.0	6108.0	1937.0	1585.0	2212280.0	2212280.0	2212280.0	2159.1	3951	0	0	3949	0	0	0	0	0	1	0	0	0	0	0
ERR9966625_bin_113	68_0	1	4.49	0.0	178030	0.52								Neural Network (Specific Model)	4	0.795	2721	210.79735682819384	227	64	4267		ERR9966625_bin_113	0.05	average	ANImf	68	ERR9966625_bin_113	Unclassified Bacteria	52.5	31.0	57.0	4267.0	2721.0	2565.0	178030.0	178030.0	178030.0	2804.7	215	0	0	214	0	0	0	0	0	0	1	0	0	1	0
ERR9966625_bin_115	73_0	1	15.27	0.98	652365	0.54								Neural Network (Specific Model)	4	0.805	2767	151.8956372968349	1169	235	3196		ERR9966625_bin_115	0.05	average	ANImf	73	ERR9966625_bin_115	Unclassified	54.36	111.0	210.0	3196.0	2767.0	2537.0	652365.0	652365.0	652365.0	2789.1	1068	0	0	1064	0	0	0	0	0	0	0	0	0	0	0
