task_id,hash,native_id,name,status,exit,submit,duration,realtime,%cpu,peak_rss,peak_vmem,rchar,wchar,sample_id,process_name,source_file,peak_rss_gb,peak_vmem_gb,cpu_percent,realtime_seconds,assembly_accession,run_accession,# N's per 100 kbp,# contigs,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 5000 bp),# contigs (>= 50000 bp),Assembly,GC (%),L50,L90,Largest contig,N50,N90,Total length,Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 5000 bp),Total length (>= 50000 bp),auN
89,47/1bb7cc,29647263,GGP:BINNING:MAXBIN2 (SRR29873487 SRR29873487.fasta),COMPLETED,0,2025-07-29 08:39:48.365,1m 50s,1m 47s,150.3%,903.7 MB,1.3 GB,2.7 GB,445.5 MB,SRR29873487,MAXBIN2,execution_trace_2025-07-29_08-09-05.txt,0.88251953125,1.3,150.3,107.0,ERZ27315268,SRR29873487,0.0,222643.0,222643.0,35085.0,493.0,215.0,1179.0,88.0,SRR29873487_cleaned,60.89,60773.0,184626.0,804221.0,805.0,533.0,196015674.0,196015674.0,75161569.0,18509715.0,14247200.0,23015658.0,9699833.0,12562.3
81,1d/2bdc95,29646651,GGP:BINNING:CONCOCT_SUBWF:CONCOCT_CONCOCT (SRR29873475),COMPLETED,0,2025-07-29 08:38:58.367,3m 30s,2m 53s,170.4%,274.3 MB,795.5 MB,291.5 MB,41.1 MB,SRR29873475,CONCOCT_CONCOCT,execution_trace_2025-07-29_08-09-05.txt,0.26787109375,0.77685546875,170.4,173.0,ERZ27315263,SRR29873475,0.0,253710.0,253710.0,37110.0,354.0,84.0,1179.0,17.0,SRR29873475_cleaned,61.0,78194.0,213220.0,100878.0,756.0,530.0,208228627.0,208228627.0,68955405.0,7465252.0,3525006.0,12984642.0,1200950.0,2257.1
94,73/137236,29647349,GGP:BINNING:MAXBIN2 (SRR29873480 SRR29873480.fasta),COMPLETED,0,2025-07-29 08:39:58.115,2m 30s,2m 24s,151.4%,250 MB,696.6 MB,3 GB,509.9 MB,SRR29873480,MAXBIN2,execution_trace_2025-07-29_08-09-05.txt,0.244140625,0.6802734375,151.4,144.0,ERZ27315271,SRR29873480,0.0,256201.0,256201.0,44525.0,337.0,91.0,1484.0,16.0,SRR29873480_cleaned,61.41,73446.0,213285.0,127000.0,805.0,533.0,221241965.0,221241965.0,84904383.0,7103933.0,3621532.0,14636879.0,1097753.0,2278.7
121,d0/158234,29649126,GGP:BINNING:METABAT2_METABAT2 (SRR29873488 SRR29873488.fasta with SRR29873488.txt.gz),COMPLETED,0,2025-07-29 08:41:48.975,39.1s,33s,459.5%,2.1 GB,2.1 GB,279.6 MB,243.2 MB,SRR29873488,METABAT2_METABAT2,execution_trace_2025-07-29_08-09-05.txt,2.1,2.1,459.5,33.0,ERZ27315275,SRR29873488,0.0,270957.0,270957.0,43055.0,636.0,141.0,1663.0,40.0,SRR29873488_cleaned,60.87,77997.0,225903.0,269493.0,789.0,532.0,232080203.0,232080203.0,85310194.0,14137027.0,6715317.0,21135702.0,3327074.0,3734.8
119,2e/9ad8c9,29649127,GGP:BINNING:METABAT2_METABAT2 (SRR29873477 SRR29873477.fasta with SRR29873477.txt.gz),COMPLETED,0,2025-07-29 08:41:49.096,1m 49s,41s,475.3%,2.8 GB,2.8 GB,285.1 MB,248.5 MB,SRR29873477,METABAT2_METABAT2,execution_trace_2025-07-29_08-09-05.txt,2.8,2.8,475.3,41.0,ERZ27315261,SRR29873477,0.0,272120.0,272120.0,46527.0,643.0,119.0,1831.0,19.0,SRR29873477_cleaned,61.0,76493.0,226090.0,120556.0,810.0,533.0,237389667.0,237389667.0,91962823.0,12304264.0,4717897.0,20324027.0,1357942.0,2659.7
87,bf/07d94b,29647086,GGP:BINNING:CONCOCT_SUBWF:CONCOCT_CONCOCT (SRR29873487),COMPLETED,0,2025-07-29 08:39:38.214,4m 40s,4m 11s,145.0%,265.3 MB,730.5 MB,277.7 MB,40.7 MB,SRR29873487,CONCOCT_CONCOCT,execution_trace_2025-07-29_08-09-05.txt,0.25908203125,0.71337890625,145.0,251.0,ERZ27315268,SRR29873487,0.0,222643.0,222643.0,35085.0,493.0,215.0,1179.0,88.0,SRR29873487_cleaned,60.89,60773.0,184626.0,804221.0,805.0,533.0,196015674.0,196015674.0,75161569.0,18509715.0,14247200.0,23015658.0,9699833.0,12562.3
131,38/c24112,29649368,GGP:BINNING:MAXBIN2 (SRR29873488 SRR29873488.fasta),COMPLETED,0,2025-07-29 08:41:58.049,2m 30s,2m 12s,150.5%,420.7 MB,865.8 MB,3.1 GB,526.7 MB,SRR29873488,MAXBIN2,execution_trace_2025-07-29_08-09-05.txt,0.41083984375,0.8455078125,150.5,132.0,ERZ27315275,SRR29873488,0.0,270957.0,270957.0,43055.0,636.0,141.0,1663.0,40.0,SRR29873488_cleaned,60.87,77997.0,225903.0,269493.0,789.0,532.0,232080203.0,232080203.0,85310194.0,14137027.0,6715317.0,21135702.0,3327074.0,3734.8
138,c0/9dcb72,29650013,GGP:BINNING:METABAT2_METABAT2 (SRR29873478 SRR29873478.fasta with SRR29873478.txt.gz),COMPLETED,0,2025-07-29 08:42:58.421,1m 40s,38s,477.0%,2.6 GB,2.6 GB,300.9 MB,261.5 MB,SRR29873478,METABAT2_METABAT2,execution_trace_2025-07-29_08-09-05.txt,2.6,2.6,477.0,38.0,ERZ27315270,SRR29873478,0.0,292586.0,292586.0,48812.0,548.0,157.0,1507.0,37.0,SRR29873478_cleaned,60.69,86093.0,244204.0,120875.0,795.0,533.0,249397733.0,249397733.0,91753629.0,12344292.0,6523683.0,18812854.0,2430925.0,2772.8
132,8a/320cf3,29649369,GGP:BINNING:MAXBIN2 (SRR29873477 SRR29873477.fasta),COMPLETED,0,2025-07-29 08:41:58.174,3m 10s,2m 43s,138.2%,264.1 MB,709.9 MB,3.3 GB,559.7 MB,SRR29873477,MAXBIN2,execution_trace_2025-07-29_08-09-05.txt,0.25791015625,0.69326171875,138.2,163.0,ERZ27315261,SRR29873477,0.0,272120.0,272120.0,46527.0,643.0,119.0,1831.0,19.0,SRR29873477_cleaned,61.0,76493.0,226090.0,120556.0,810.0,533.0,237389667.0,237389667.0,91962823.0,12304264.0,4717897.0,20324027.0,1357942.0,2659.7
92,ad/7c4aee,29647264,GGP:BINNING:CONCOCT_SUBWF:CONCOCT_CONCOCT (SRR29873480),COMPLETED,0,2025-07-29 08:39:48.469,5m 39s,5m 20s,175.0%,316.6 MB,773.7 MB,304.1 MB,56.6 MB,SRR29873480,CONCOCT_CONCOCT,execution_trace_2025-07-29_08-09-05.txt,0.3091796875,0.75556640625,175.0,320.0,ERZ27315271,SRR29873480,0.0,256201.0,256201.0,44525.0,337.0,91.0,1484.0,16.0,SRR29873480_cleaned,61.41,73446.0,213285.0,127000.0,805.0,533.0,221241965.0,221241965.0,84904383.0,7103933.0,3621532.0,14636879.0,1097753.0,2278.7
141,32/a4c026,29650163,GGP:BINNING:MAXBIN2 (SRR29873478 SRR29873478.fasta),COMPLETED,0,2025-07-29 08:43:08.092,2m 30s,2m 25s,151.6%,274 MB,707.9 MB,3.1 GB,539.7 MB,SRR29873478,MAXBIN2,execution_trace_2025-07-29_08-09-05.txt,0.267578125,0.69130859375,151.6,145.0,ERZ27315270,SRR29873478,0.0,292586.0,292586.0,48812.0,548.0,157.0,1507.0,37.0,SRR29873478_cleaned,60.69,86093.0,244204.0,120875.0,795.0,533.0,249397733.0,249397733.0,91753629.0,12344292.0,6523683.0,18812854.0,2430925.0,2772.8
122,8c/a7a48e,29649125,GGP:BINNING:CONCOCT_SUBWF:CONCOCT_CONCOCT (SRR29873488),COMPLETED,0,2025-07-29 08:41:48.870,5m 39s,5m 10s,176.0%,295.8 MB,753.6 MB,315.5 MB,50.3 MB,SRR29873488,CONCOCT_CONCOCT,execution_trace_2025-07-29_08-09-05.txt,0.2888671875,0.7359375,176.0,310.0,ERZ27315275,SRR29873488,0.0,270957.0,270957.0,43055.0,636.0,141.0,1663.0,40.0,SRR29873488_cleaned,60.87,77997.0,225903.0,269493.0,789.0,532.0,232080203.0,232080203.0,85310194.0,14137027.0,6715317.0,21135702.0,3327074.0,3734.8
139,aa/cd93d6,29650011,GGP:BINNING:CONCOCT_SUBWF:CONCOCT_CONCOCT (SRR29873478),COMPLETED,0,2025-07-29 08:42:58.254,5m 40s,5m 28s,180.8%,293.9 MB,764.3 MB,333.6 MB,55.1 MB,SRR29873478,CONCOCT_CONCOCT,execution_trace_2025-07-29_08-09-05.txt,0.28701171875,0.74638671875,180.8,328.0,ERZ27315270,SRR29873478,0.0,292586.0,292586.0,48812.0,548.0,157.0,1507.0,37.0,SRR29873478_cleaned,60.69,86093.0,244204.0,120875.0,795.0,533.0,249397733.0,249397733.0,91753629.0,12344292.0,6523683.0,18812854.0,2430925.0,2772.8
118,2b/e38a17,29649123,GGP:BINNING:CONCOCT_SUBWF:CONCOCT_CONCOCT (SRR29873477),COMPLETED,0,2025-07-29 08:41:48.632,7m 39s,7m 20s,182.5%,312 MB,769.5 MB,320.7 MB,57.3 MB,SRR29873477,CONCOCT_CONCOCT,execution_trace_2025-07-29_08-09-05.txt,0.3046875,0.75146484375,182.5,440.0,ERZ27315261,SRR29873477,0.0,272120.0,272120.0,46527.0,643.0,119.0,1831.0,19.0,SRR29873477_cleaned,61.0,76493.0,226090.0,120556.0,810.0,533.0,237389667.0,237389667.0,91962823.0,12304264.0,4717897.0,20324027.0,1357942.0,2659.7
167,5f/164032,31962785,GGP:BINNING:CONCOCT_SUBWF:CONCOCT_CONCOCT (SRR17254985),CACHED,0,2025-08-07 15:41:07.387,14m,13m 14s,172.3%,492.4 MB,914.2 MB,458.6 MB,116 MB,SRR17254985,CONCOCT_CONCOCT,execution_trace_2025-08-11_09-09-21.txt,0.480859375,0.8927734375,172.3,794.0,,SRR17254985,0.0,376401.0,376401.0,92342.0,1104.0,87.0,4282.0,9.0,SRR17254985_cleaned,61.63,93468.0,305045.0,72144.0,993.0,552.0,374110038.0,374110038.0,185933698.0,17509971.0,3034471.0,38884757.0,579450.0,2442.5
165,54/18d389,31967186,GGP:BINNING:METABAT2_METABAT2 (SRR17254985 SRR17254985.fasta with SRR17254985.txt.gz),CACHED,0,2025-08-07 15:46:28.326,6m 59s,2m 20s,532.9%,1 GB,1.1 GB,439.5 MB,388.9 MB,SRR17254985,METABAT2_METABAT2,execution_trace_2025-08-11_09-09-21.txt,1.0,1.1,532.9,140.0,,SRR17254985,0.0,376401.0,376401.0,92342.0,1104.0,87.0,4282.0,9.0,SRR17254985_cleaned,61.63,93468.0,305045.0,72144.0,993.0,552.0,374110038.0,374110038.0,185933698.0,17509971.0,3034471.0,38884757.0,579450.0,2442.5
174,76/d70a96,31998891,GGP:BINNING:METABAT2_METABAT2 (SRR17254986 SRR17254986.fasta with SRR17254986.txt.gz),CACHED,0,2025-08-07 18:45:57.962,1m 40s,54s,485.2%,3.7 GB,3.7 GB,240.5 MB,212.6 MB,SRR17254986,METABAT2_METABAT2,execution_trace_2025-08-11_09-09-21.txt,3.7,3.7,485.2,54.0,,SRR17254986,0.0,207607.0,207607.0,47626.0,674.0,59.0,2485.0,21.0,SRR17254986_cleaned,64.85,50578.0,168434.0,150553.0,970.0,548.0,204600580.0,204600580.0,99395047.0,11213498.0,2720129.0,23409028.0,1488914.0,2912.9
175,d2/bc25be,31969381,GGP:BINNING:CONCOCT_SUBWF:CONCOCT_CONCOCT (SRR17254986),CACHED,0,2025-08-07 15:49:17.569,11m 50s,4m 59s,172.2%,331.4 MB,788.1 MB,284.7 MB,65.6 MB,SRR17254986,CONCOCT_CONCOCT,execution_trace_2025-08-11_09-09-21.txt,0.3236328125,0.76962890625,172.2,299.0,,SRR17254986,0.0,207607.0,207607.0,47626.0,674.0,59.0,2485.0,21.0,SRR17254986_cleaned,64.85,50578.0,168434.0,150553.0,970.0,548.0,204600580.0,204600580.0,99395047.0,11213498.0,2720129.0,23409028.0,1488914.0,2912.9
184,8c/61dfcd,31980235,GGP:BINNING:MAXBIN2 (SRR17254985 SRR17254985.fasta),CACHED,0,2025-08-07 16:48:58.278,9m 49s,6m 38s,125.5%,283.9 MB,740.5 MB,6.9 GB,1002.3 MB,SRR17254985,MAXBIN2,execution_trace_2025-08-11_09-09-21.txt,0.27724609375,0.72314453125,125.5,398.0,,SRR17254985,0.0,376401.0,376401.0,92342.0,1104.0,87.0,4282.0,9.0,SRR17254985_cleaned,61.63,93468.0,305045.0,72144.0,993.0,552.0,374110038.0,374110038.0,185933698.0,17509971.0,3034471.0,38884757.0,579450.0,2442.5
186,2c/7d8de2,32005826,GGP:BINNING:MAXBIN2 (SRR17254986 SRR17254986.fasta),CACHED,0,2025-08-07 19:45:14.028,3m 18s,2m 58s,144.5%,268.8 MB,715.3 MB,3.7 GB,543.2 MB,SRR17254986,MAXBIN2,execution_trace_2025-08-11_09-09-21.txt,0.2625,0.69853515625,144.5,178.0,,SRR17254986,0.0,207607.0,207607.0,47626.0,674.0,59.0,2485.0,21.0,SRR17254986_cleaned,64.85,50578.0,168434.0,150553.0,970.0,548.0,204600580.0,204600580.0,99395047.0,11213498.0,2720129.0,23409028.0,1488914.0,2912.9
340,f5/965593,31954534,GGP:BINNING:CONCOCT_SUBWF:CONCOCT_CONCOCT (SRR17254984),CACHED,0,2025-08-07 15:32:47.565,6m 50s,5m 53s,176.8%,349.5 MB,803.4 MB,322 MB,69.4 MB,SRR17254984,CONCOCT_CONCOCT,execution_trace_2025-08-11_09-09-21.txt,0.34130859375,0.7845703125,176.8,353.0,,SRR17254984,0.0,236647.0,236647.0,52141.0,1165.0,282.0,3109.0,73.0,SRR17254984_cleaned,63.8,52778.0,190500.0,247546.0,994.0,550.0,241425144.0,241425144.0,120078022.0,25854810.0,12663079.0,39141930.0,5531713.0,5335.3
339,5d/4e892c,31956411,GGP:BINNING:METABAT2_METABAT2 (SRR17254984 SRR17254984.fasta with SRR17254984.txt.gz),CACHED,0,2025-08-07 15:36:27.869,1m 50s,1m 1s,486.4%,4.1 GB,4.1 GB,282.1 MB,250.3 MB,SRR17254984,METABAT2_METABAT2,execution_trace_2025-08-11_09-09-21.txt,4.1,4.1,486.4,61.0,,SRR17254984,0.0,236647.0,236647.0,52141.0,1165.0,282.0,3109.0,73.0,SRR17254984_cleaned,63.8,52778.0,190500.0,247546.0,994.0,550.0,241425144.0,241425144.0,120078022.0,25854810.0,12663079.0,39141930.0,5531713.0,5335.3
343,93/245be5,32004618,GGP:BINNING:MAXBIN2 (SRR17254984 SRR17254984.fasta),CACHED,0,2025-08-07 19:41:22.888,3m 49s,3m 35s,144.1%,378.9 MB,813.8 MB,4.5 GB,649 MB,SRR17254984,MAXBIN2,execution_trace_2025-08-11_09-09-21.txt,0.37001953125,0.7947265625,144.1,215.0,,SRR17254984,0.0,236647.0,236647.0,52141.0,1165.0,282.0,3109.0,73.0,SRR17254984_cleaned,63.8,52778.0,190500.0,247546.0,994.0,550.0,241425144.0,241425144.0,120078022.0,25854810.0,12663079.0,39141930.0,5531713.0,5335.3
373,0a/52728f,31979612,GGP:BINNING:METABAT2_METABAT2 (SRR17254989 SRR17254989.fasta with SRR17254989.txt.gz),CACHED,0,2025-08-07 16:44:07.998,5m 19s,1m 18s,512.3%,755.3 MB,817.8 MB,302.3 MB,268.7 MB,SRR17254989,METABAT2_METABAT2,execution_trace_2025-08-11_09-09-21.txt,0.73759765625,0.7986328125,512.3,78.0,,SRR17254989,0.0,249361.0,249361.0,64602.0,820.0,97.0,3294.0,32.0,SRR17254989_cleaned,64.14,57544.0,200045.0,315470.0,1064.0,556.0,259297092.0,259297092.0,136922141.0,15565875.0,5431663.0,32147354.0,3290547.0,4162.1
371,0f/35d02d,31986686,GGP:BINNING:CONCOCT_SUBWF:CONCOCT_CONCOCT (SRR17254989),CACHED,0,2025-08-07 17:25:57.668,13m 20s,9m,177.5%,398.7 MB,866.3 MB,339.9 MB,90.8 MB,SRR17254989,CONCOCT_CONCOCT,execution_trace_2025-08-11_09-09-21.txt,0.38935546875,0.84599609375,177.5,540.0,,SRR17254989,0.0,249361.0,249361.0,64602.0,820.0,97.0,3294.0,32.0,SRR17254989_cleaned,64.14,57544.0,200045.0,315470.0,1064.0,556.0,259297092.0,259297092.0,136922141.0,15565875.0,5431663.0,32147354.0,3290547.0,4162.1
380,3f/fd8169,32007690,GGP:BINNING:MAXBIN2 (SRR17254989 SRR17254989.fasta),CACHED,0,2025-08-07 19:56:22.371,5m 30s,4m 29s,137.7%,466.3 MB,913 MB,5.1 GB,728.2 MB,SRR17254989,MAXBIN2,execution_trace_2025-08-11_09-09-21.txt,0.45537109375,0.8916015625,137.7,269.0,,SRR17254989,0.0,249361.0,249361.0,64602.0,820.0,97.0,3294.0,32.0,SRR17254989_cleaned,64.14,57544.0,200045.0,315470.0,1064.0,556.0,259297092.0,259297092.0,136922141.0,15565875.0,5431663.0,32147354.0,3290547.0,4162.1
383,8c/d4d0b0,31966633,GGP:BINNING:CONCOCT_SUBWF:CONCOCT_CONCOCT (SRR17254987),CACHED,0,2025-08-07 15:45:47.564,9m 40s,5m 11s,173.9%,317.1 MB,777.2 MB,303.1 MB,58.5 MB,SRR17254987,CONCOCT_CONCOCT,execution_trace_2025-08-11_09-09-21.txt,0.30966796875,0.758984375,173.9,311.0,,SRR17254987,0.0,238198.0,238198.0,48671.0,800.0,68.0,2328.0,4.0,SRR17254987_cleaned,64.28,63233.0,195601.0,60667.0,889.0,543.0,221559641.0,221559641.0,97079249.0,12795720.0,2236228.0,23321229.0,217368.0,2435.6
385,a4/e6660d,31950984,GGP:BINNING:METABAT2_METABAT2 (SRR17254987 SRR17254987.fasta with SRR17254987.txt.gz),CACHED,0,2025-08-07 15:23:57.816,1m 19s,52s,439.1%,3 GB,3.1 GB,263 MB,231 MB,SRR17254987,METABAT2_METABAT2,execution_trace_2025-08-11_09-09-21.txt,3.0,3.1,439.1,52.0,,SRR17254987,0.0,238198.0,238198.0,48671.0,800.0,68.0,2328.0,4.0,SRR17254987_cleaned,64.28,63233.0,195601.0,60667.0,889.0,543.0,221559641.0,221559641.0,97079249.0,12795720.0,2236228.0,23321229.0,217368.0,2435.6
430,c0/86cd09,31950664,GGP:BINNING:CONCOCT_SUBWF:CONCOCT_CONCOCT (SRR17254990),CACHED,0,2025-08-07 15:20:28.752,5m 8s,4m 24s,174.0%,297.7 MB,769.8 MB,274.1 MB,57.2 MB,SRR17254990,CONCOCT_CONCOCT,execution_trace_2025-08-11_09-09-21.txt,0.29072265625,0.7517578125,174.0,264.0,,SRR17254990,0.0,200505.0,200505.0,42895.0,646.0,121.0,2102.0,33.0,SRR17254990_cleaned,65.69,49374.0,163265.0,183371.0,934.0,545.0,193972879.0,193972879.0,90728069.0,13365672.0,5762383.0,23271743.0,2873458.0,4034.1
432,a2/65de62,31950663,GGP:BINNING:METABAT2_METABAT2 (SRR17254990 SRR17254990.fasta with SRR17254990.txt.gz),CACHED,0,2025-08-07 15:20:28.575,1m 19s,37s,455.5%,2.7 GB,2.8 GB,228.7 MB,201.7 MB,SRR17254990,METABAT2_METABAT2,execution_trace_2025-08-11_09-09-21.txt,2.7,2.8,455.5,37.0,,SRR17254990,0.0,200505.0,200505.0,42895.0,646.0,121.0,2102.0,33.0,SRR17254990_cleaned,65.69,49374.0,163265.0,183371.0,934.0,545.0,193972879.0,193972879.0,90728069.0,13365672.0,5762383.0,23271743.0,2873458.0,4034.1
409,1a/e86666,31956569,GGP:BINNING:MAXBIN2 (SRR17254987 SRR17254987.fasta),CACHED,0,2025-08-07 15:36:37.648,2m 50s,2m 23s,122.0%,198.6 MB,655.9 MB,3.4 GB,535 MB,SRR17254987,MAXBIN2,execution_trace_2025-08-11_09-09-21.txt,0.1939453125,0.64052734375,122.0,143.0,,SRR17254987,0.0,238198.0,238198.0,48671.0,800.0,68.0,2328.0,4.0,SRR17254987_cleaned,64.28,63233.0,195601.0,60667.0,889.0,543.0,221559641.0,221559641.0,97079249.0,12795720.0,2236228.0,23321229.0,217368.0,2435.6
