Genome	SRR22878283.fastq Relative Abundance (%)
SRR22878281.fastq_bin_682652	0.008551875
SRR22878281.fastq_bin_725349	0.0063436334
SRR22878281.fastq_bin_742824	0
SRR22878281.fastq_bin_7512	0.024907868
SRR22878281.fastq_bin_760565	0.546891
SRR22878281.fastq_bin_770814	0.23607244
SRR22878281.fastq_bin_770942	0.0071029486
SRR22878281.fastq_bin_786708	0
SRR22878281.fastq_bin_843222	0
SRR22878281.fastq_bin_861208	0.607924
SRR22878281.fastq_bin_870174	0
SRR22878281.fastq_bin_952057	0
SRR22878281.fastq_bin_976162	0.0074166902
SRR22878282.fastq_bin_11756	0
SRR22878282.fastq_bin_2024	1.0310131
SRR22878282.fastq_bin_289431	0
SRR22878282.fastq_bin_291065	0.054190315
SRR22878282.fastq_bin_332620	0
SRR22878282.fastq_bin_335615	0.43155062
SRR22878282.fastq_bin_370776	0.024705373
SRR22878282.fastq_bin_446643	0
SRR22878282.fastq_bin_484164	0.054947328
SRR22878282.fastq_bin_575448	0
SRR22878282.fastq_bin_590945	0.19310392
SRR22878282.fastq_bin_596555	11.831332
SRR22878282.fastq_bin_599023	0.041566204
SRR22878282.fastq_bin_610670	0.042988863
SRR22878282.fastq_bin_649781	0
SRR22878282.fastq_bin_660044	0.18175928
SRR22878282.fastq_bin_692197	0
SRR22878282.fastq_bin_754860	0.017818995
SRR22878282.fastq_bin_836214	0.34059325
SRR22878282.fastq_bin_870593	0.01697923
SRR22878282.fastq_bin_885747	0
SRR22878282.fastq_bin_892601	0.017986536
SRR22878282.fastq_bin_892974	0.16231683
SRR22878282.fastq_bin_894258	0.05233338
SRR22878282.fastq_bin_901601	0.5860656
SRR22878282.fastq_bin_939515	0.0878399
SRR22878283.fastq_bin_19238	0.22946797
SRR22878283.fastq_bin_220	0.7395589
SRR22878283.fastq_bin_262641	0.5384154
SRR22878283.fastq_bin_270555	0.22396596
SRR22878283.fastq_bin_27333	0.27138835
SRR22878283.fastq_bin_286550	0.4298062
SRR22878283.fastq_bin_288467	0.31376034
SRR22878283.fastq_bin_293487	0.40269905
SRR22878283.fastq_bin_299277	0.18512103
SRR22878283.fastq_bin_309632	0.47220138
SRR22878283.fastq_bin_319289	0.4218839
SRR22878283.fastq_bin_357648	0.2771696
SRR22878283.fastq_bin_361576	0.672825
SRR22878283.fastq_bin_374669	0.4905542
SRR22878283.fastq_bin_389652	0.4502546
SRR22878283.fastq_bin_442058	0.9092127
SRR22878283.fastq_bin_450015	0.22766012
SRR22878283.fastq_bin_452711	0.41609794
SRR22878283.fastq_bin_455268	0.92249364
SRR22878283.fastq_bin_464441	0.19974749
SRR22878283.fastq_bin_468788	0.51108426
SRR22878283.fastq_bin_469571	0.45602682
SRR22878283.fastq_bin_484169	0.42923045
SRR22878283.fastq_bin_492641	0.38025346
SRR22878283.fastq_bin_495986	0.8498787
SRR22878283.fastq_bin_563799	0.38146394
SRR22878283.fastq_bin_597359	0.21240352
SRR22878283.fastq_bin_599096	0.40169302
SRR22878283.fastq_bin_617109	0.16125663
SRR22878283.fastq_bin_617325	0.4204678
SRR22878283.fastq_bin_626659	0.20892762
SRR22878283.fastq_bin_631081	0.19046932
SRR22878283.fastq_bin_640648	0.20733103
SRR22878283.fastq_bin_670273	0.5237691
SRR22878283.fastq_bin_681399	0.2712642
SRR22878283.fastq_bin_758824	0.33578765
SRR22878283.fastq_bin_766374	1.1407411
SRR22878283.fastq_bin_770595	0.51264
SRR22878283.fastq_bin_7858	0.48775753
SRR22878283.fastq_bin_8829	1.7144825
