Name	secondary_cluster	cluster_size	Completeness	Contamination	Genome_Size	GC_Content	domain	phylum	class	order	family	genus	species	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes	genome	threshold	cluster_method	comparison_algorithm	primary_cluster	user_genome	classification	GC (%)	L50	L90	Largest contig	N50	N90	Total length	Total length (>= 0 bp)	Total length (>= 1000 bp)	auN	CDSs	CRISPR arrays	gaps	hypotheticals	ncRNA regions	ncRNAs	oriCs	oriTs	oriVs	pseudogenes	rRNAs	sORFs	signal peptides	tRNAs	tmRNAs
SRR22878281.fastq_bin_1272423	36_0	1	84.41	3.88	2719894	0.6	Bacteria	Myxococcota_A	UBA9160	UBA9160	UBA4427	UBA4427		Gradient Boost (General Model)	11	0.909	6996	292.7623095997166	2823	508	61870		SRR22878281.fastq_bin_1272423	0.05	average	ANImf	36	SRR22878281.fastq_bin_1272423	d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__UBA4427;g__UBA4427;s__	59.56	108.0	370.0	61870.0	6996.0	2457.0	2719894.0	2719894.0	2719894.0	10239.3	2609	0	0	1113	3	2	0	0	0	0	0	0	0	31	0
SRR22878281.fastq_bin_1299134	26_0	1	77.09	7.21	4561391	0.55	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae			Gradient Boost (General Model)	11	0.873	8341	329.2323682256867	4041	644	35390		SRR22878281.fastq_bin_1299134	0.05	average	ANImf	26	SRR22878281.fastq_bin_1299134	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__;s__	54.53	179.0	495.0	35390.0	8341.0	3575.0	4561391.0	4561391.0	4561391.0	9866.0	3771	0	0	2238	1	3	0	0	0	3	0	0	0	39	1
SRR22878281.fastq_bin_1315445	104_0	1	91.52	1.34	3088916	0.31	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Olleya	Olleya sediminilitoris	Neural Network (Specific Model)	11	0.919	39816	326.4679310344828	2900	113	138684		SRR22878281.fastq_bin_1315445	0.05	average	ANImf	104	SRR22878281.fastq_bin_1315445	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Olleya;s__Olleya sediminilitoris	31.09	27.0	77.0	138684.0	39816.0	12659.0	3088916.0	3088916.0	3088916.0	45554.7	2822	0	0	133	9	36	0	0	0	13	0	0	0	33	1
SRR22878281.fastq_bin_1318659	27_0	1	100.0	0.08	4590481	0.57	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	CAJQQK01		Gradient Boost (General Model)	11	0.889	50168	310.5148131267092	4388	130	177035		SRR22878281.fastq_bin_1318659	0.05	average	ANImf	27	SRR22878281.fastq_bin_1318659	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__CAJQQK01;s__	57.13	30.0	88.0	177035.0	50168.0	18897.0	4590481.0	4590481.0	4590481.0	59333.7	4312	0	0	1271	6	8	0	0	0	4	2	0	0	48	1
SRR22878281.fastq_bin_1327645	31_0	1	99.54	1.48	6081689	0.6	Bacteria	Pseudomonadota	Alphaproteobacteria	Geminicoccales	Geminicoccaceae	JANQPX01		Gradient Boost (General Model)	11	0.863	21481	299.104571818492	5862	445	118452		SRR22878281.fastq_bin_1327645	0.05	average	ANImf	31	SRR22878281.fastq_bin_1327645	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Geminicoccales;f__Geminicoccaceae;g__JANQPX01;s__	60.13	83.0	297.0	118452.0	21481.0	5909.0	6081689.0	6081689.0	6081689.0	28328.2	5662	1	0	2160	9	8	0	0	0	3	0	0	0	44	1
SRR22878281.fastq_bin_1330403	82_0	1	99.02	0.07	2653612	0.46	Bacteria	Pseudomonadota	Gammaproteobacteria	Arenicellales	Arenicellaceae	Arenicella		Gradient Boost (General Model)	11	0.891	68686	330.61006289308176	2385	91	258333		SRR22878281.fastq_bin_1330403	0.05	average	ANImf	82	SRR22878281.fastq_bin_1330403	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Arenicellales;f__Arenicellaceae;g__Arenicella;s__	46.35	13.0	40.0	258333.0	68686.0	14399.0	2653612.0	2653612.0	2653612.0	82043.7	2307	0	0	528	6	4	0	0	0	0	0	0	0	32	1
SRR22878281.fastq_bin_1348881	118_0	1	76.66	5.27	3298540	0.37	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Dokdonia	Dokdonia sp000355805	Neural Network (Specific Model)	11	0.911	7651	294.8991473096148	3401	607	41771		SRR22878281.fastq_bin_1348881	0.05	average	ANImf	118	SRR22878281.fastq_bin_1348881	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Dokdonia;s__Dokdonia sp000355805	36.55	123.0	413.0	41771.0	7651.0	2470.0	3298540.0	3298540.0	3298540.0	10474.5	2908	1	0	490	6	8	0	0	0	22	2	0	0	36	1
SRR22878281.fastq_bin_1355362	109_0	1	81.25	1.69	2398137	0.31	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Maribacter_B	Maribacter_B vaceletii	Gradient Boost (General Model)	11	0.91	8794	292.22293504410584	2494	361	28198		SRR22878281.fastq_bin_1355362	0.05	average	ANImf	109	SRR22878281.fastq_bin_1355362	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maribacter_B;s__Maribacter_B vaceletii	31.38	93.0	279.0	28198.0	8794.0	3325.0	2398137.0	2398137.0	2398137.0	9743.3	2215	0	0	309	6	4	0	0	0	21	0	0	0	23	1
SRR22878281.fastq_bin_1360208	44_0	1	89.29	2.45	2372219	0.48	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Maricaulaceae	Hellea		Gradient Boost (General Model)	11	0.915	8751	285.57834645669294	2540	342	60350		SRR22878281.fastq_bin_1360208	0.05	average	ANImf	44	SRR22878281.fastq_bin_1360208	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Hellea;s__	48.45	73.0	245.0	60350.0	8751.0	3505.0	2372219.0	2372219.0	2372219.0	12905.3	2250	0	0	565	2	2	0	0	0	6	0	0	0	22	0
SRR22878281.fastq_bin_1380972	30_0	1	87.76	3.1	4962372	0.55	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007			Gradient Boost (General Model)	11	0.889	7147	295.89283564118	4983	858	36651		SRR22878281.fastq_bin_1380972	0.05	average	ANImf	30	SRR22878281.fastq_bin_1380972	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__DEV007;g__;s__	55.29	217.0	633.0	36651.0	7147.0	2852.0	4962372.0	4962372.0	4962372.0	8702.2	4693	1	0	3017	3	3	0	0	0	1	0	0	0	56	3
SRR22878281.fastq_bin_1406449	38_0	1	94.23	1.58	4736166	0.68	Bacteria	Myxococcota_A	UBA9160	UBA9160	SMWR01	CALDCK01		Gradient Boost (General Model)	11	0.917	14074	308.1021882302953	4707	493	88231		SRR22878281.fastq_bin_1406449	0.05	average	ANImf	38	SRR22878281.fastq_bin_1406449	d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__SMWR01;g__CALDCK01;s__	68.02	95.0	321.0	88231.0	14074.0	4465.0	4736166.0	4736166.0	4736166.0	19529.0	4468	0	0	1892	2	2	0	0	0	3	0	0	0	59	1
SRR22878281.fastq_bin_1415033	59_0	1	99.02	0.03	2137595	0.54	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus_B		Gradient Boost (General Model)	11	0.911	54633	308.0454760776883	2111	76	131178		SRR22878281.fastq_bin_1415033	0.05	average	ANImf	59	SRR22878281.fastq_bin_1415033	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus_B;s__	54.36	14.0	47.0	131178.0	54633.0	11809.0	2137595.0	2137595.0	2137595.0	55407.8	2078	0	0	431	4	2	0	0	0	1	0	0	0	30	1
SRR22878281.fastq_bin_1437311	63_0	1	96.57	0.56	4251695	0.5	Bacteria	Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	CALFCE01		Gradient Boost (General Model)	11	0.863	42257	335.32557502738223	3652	159	163661		SRR22878281.fastq_bin_1437311	0.05	average	ANImf	63	SRR22878281.fastq_bin_1437311	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Granulosicoccales;f__Granulosicoccaceae;g__CALFCE01;s__	49.99	32.0	99.0	163661.0	42257.0	14503.0	4251695.0	4251695.0	4251695.0	51302.5	3530	0	0	1369	11	3	0	0	0	0	1	0	0	35	1
SRR22878281.fastq_bin_1475309	70_0	1	99.99	0.12	3230427	0.43	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter sp002377945	Neural Network (Specific Model)	11	0.837	64550	323.6562612127736	2787	142	422613		SRR22878281.fastq_bin_1475309	0.05	average	ANImf	70	SRR22878281.fastq_bin_1475309	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter sp002377945	42.71	13.0	79.0	422613.0	64550.0	8703.0	3230427.0	3230427.0	3230427.0	106803.4	2667	1	0	120	5	5	1	0	0	18	3	2	0	41	1
SRR22878281.fastq_bin_1479957	68_0	1	99.13	3.72	3496563	0.5	Bacteria	Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus		Gradient Boost (General Model)	11	0.925	20588	321.1099881093936	3364	261	80439		SRR22878281.fastq_bin_1479957	0.05	average	ANImf	68	SRR22878281.fastq_bin_1479957	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Granulosicoccales;f__Granulosicoccaceae;g__Granulosicoccus;s__	49.58	46.0	177.0	80439.0	20588.0	5909.0	3496563.0	3496563.0	3496563.0	27436.9	3156	0	0	857	10	4	0	0	0	1	0	0	0	34	1
SRR22878281.fastq_bin_1483024	66_0	1	83.91	6.04	6668004	0.47	Bacteria	Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	CAKZUP01		Gradient Boost (General Model)	11	0.877	9977	291.3787132407822	6699	831	44650		SRR22878281.fastq_bin_1483024	0.05	average	ANImf	66	SRR22878281.fastq_bin_1483024	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Granulosicoccales;f__Granulosicoccaceae;g__CAKZUP01;s__	47.1	212.0	628.0	44650.0	9977.0	4121.0	6668004.0	6668004.0	6668004.0	12133.5	5974	0	0	2233	7	3	0	0	0	5	0	0	0	32	1
SRR22878281.fastq_bin_1505020	37_0	1	94.86	0.25	3575065	0.63	Bacteria	Myxococcota_A	UBA9160	UBA9160	SMWR01	CALDCK01		Gradient Boost (General Model)	11	0.903	109932	336.0492058548739	3211	62	433823		SRR22878281.fastq_bin_1505020	0.05	average	ANImf	37	SRR22878281.fastq_bin_1505020	d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__SMWR01;g__CALDCK01;s__	62.54	10.0	32.0	433823.0	109932.0	34695.0	3575065.0	3575065.0	3575065.0	150071.6	3176	0	0	1238	3	2	0	0	0	1	1	0	0	48	1
SRR22878281.fastq_bin_1506086	61_0	1	96.37	3.18	3723407	0.56	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	CALHAX01	CALHAX01		Gradient Boost (General Model)	11	0.89	22840	304.55778756191523	3634	239	77208		SRR22878281.fastq_bin_1506086	0.05	average	ANImf	61	SRR22878281.fastq_bin_1506086	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__CALHAX01;g__CALHAX01;s__	55.7	50.0	161.0	77208.0	22840.0	7335.0	3723407.0	3723407.0	3723407.0	27107.5	3526	0	0	1335	8	5	0	0	0	0	0	0	0	38	1
SRR22878281.fastq_bin_1524409	96_0	1	89.28	0.39	3378960	0.36	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Maribacter_C		Neural Network (Specific Model)	11	0.9	23164	316.2704049844237	3210	229	74056		SRR22878281.fastq_bin_1524409	0.05	average	ANImf	96	SRR22878281.fastq_bin_1524409	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Maribacter_C;s__	36.14	45.0	154.0	74056.0	23164.0	6626.0	3378960.0	3378960.0	3378960.0	27195.5	3036	0	0	404	7	6	0	0	0	7	1	2	0	31	1
SRR22878281.fastq_bin_1532639	45_0	1	84.63	4.27	2581184	0.49	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Maricaulaceae	Hellea	Hellea sp020629875	Gradient Boost (General Model)	11	0.927	6914	282.72302794481783	2827	446	24601		SRR22878281.fastq_bin_1532639	0.05	average	ANImf	45	SRR22878281.fastq_bin_1532639	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Hellea;s__Hellea sp020629875	49.21	117.0	353.0	24601.0	6914.0	3015.0	2581184.0	2581184.0	2581184.0	8269.7	2462	0	0	648	3	1	0	0	0	10	1	0	0	26	1
SRR22878281.fastq_bin_1633526	46_0	1	90.72	4.27	2957249	0.5	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Maricaulaceae	JACOMS01		Gradient Boost (General Model)	11	0.923	45117	306.10480349344977	2977	139	168272		SRR22878281.fastq_bin_1633526	0.05	average	ANImf	46	SRR22878281.fastq_bin_1633526	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__JACOMS01;s__	49.9	19.0	80.0	168272.0	45117.0	8329.0	2957249.0	2957249.0	2957249.0	55661.2	2893	0	0	1003	5	2	0	0	0	0	2	0	0	29	1
SRR22878281.fastq_bin_1641228	71_0	1	95.77	1.02	3480346	0.43	Bacteria	Bdellovibrionota	UBA2361	UBA2361	J046			Gradient Boost (General Model)	11	0.867	39831	327.9847005208333	3072	135	139088		SRR22878281.fastq_bin_1641228	0.05	average	ANImf	71	SRR22878281.fastq_bin_1641228	d__Bacteria;p__Bdellovibrionota;c__UBA2361;o__UBA2361;f__J046;g__;s__	42.99	27.0	84.0	139088.0	39831.0	12155.0	3480346.0	3480346.0	3480346.0	48539.4	2988	0	0	1819	3	2	0	0	0	0	3	0	0	38	1
SRR22878281.fastq_bin_1700770	51_0	1	81.36	8.04	3277101	0.46	Bacteria	Pseudomonadota	Gammaproteobacteria	UWMA-0217	UWMA-0217	CALIRD01		Gradient Boost (General Model)	11	0.926	8199	294.6701540249927	3441	494	58571		SRR22878281.fastq_bin_1700770	0.05	average	ANImf	51	SRR22878281.fastq_bin_1700770	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__UWMA-0217;f__UWMA-0217;g__CALIRD01;s__	46.19	109.0	378.0	58571.0	8199.0	3189.0	3277101.0	3277101.0	3277101.0	12822.1	2978	0	0	1192	6	3	0	0	0	0	1	0	0	21	1
SRR22878281.fastq_bin_1734399	7_0	1	94.69	1.07	3803620	0.41	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	Aridibacter		Gradient Boost (General Model)	11	0.911	37010	329.988299086758	3504	198	160378		SRR22878281.fastq_bin_1734399	0.05	average	ANImf	7	SRR22878281.fastq_bin_1734399	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__Aridibacter;s__	41.19	30.0	113.0	160378.0	37010.0	8824.0	3803620.0	3803620.0	3803620.0	47451.8	3338	2	0	987	4	3	0	0	0	0	2	0	0	61	1
SRR22878281.fastq_bin_1837401	8_0	1	96.67	0.95	6043327	0.38	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	Waterburya		Neural Network (Specific Model)	11	0.853	25967	322.24859497939303	5338	324	95332		SRR22878281.fastq_bin_1837401	0.05	average	ANImf	8	SRR22878281.fastq_bin_1837401	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Xenococcaceae;g__Waterburya;s__	38.27	72.0	218.0	95332.0	25967.0	9292.0	6043327.0	6043327.0	6043327.0	31305.0	5132	4	0	1352	4	9	0	0	0	5	2	0	0	42	1
SRR22878281.fastq_bin_1874621	10_0	1	85.93	0.31	3877762	0.39	Bacteria	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	Hyella		Neural Network (Specific Model)	11	0.826	12192	277.41774779449923	3854	470	52641		SRR22878281.fastq_bin_1874621	0.05	average	ANImf	10	SRR22878281.fastq_bin_1874621	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Xenococcaceae;g__Hyella;s__	39.12	95.0	313.0	52641.0	12192.0	3567.0	3877762.0	3877762.0	3877762.0	15385.9	3491	0	0	941	4	11	0	0	0	10	2	0	0	35	1
SRR22878281.fastq_bin_1875330	80_0	1	100.0	0.89	3039467	0.44	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	DSM-21967			Gradient Boost (General Model)	11	0.897	68865	320.0200351493849	2845	95	209668		SRR22878281.fastq_bin_1875330	0.05	average	ANImf	80	SRR22878281.fastq_bin_1875330	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__DSM-21967;g__;s__	44.33	15.0	50.0	209668.0	68865.0	14901.0	3039467.0	3039467.0	3039467.0	77653.9	2763	0	0	1019	5	4	0	0	0	0	2	0	0	34	1
SRR22878281.fastq_bin_1885024	89_0	1	92.94	2.19	4118197	0.41	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	Pseudoalteromonas atlantica	Neural Network (Specific Model)	11	0.889	16978	314.3954206328788	3887	377	70947		SRR22878281.fastq_bin_1885024	0.05	average	ANImf	89	SRR22878281.fastq_bin_1885024	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas atlantica	40.9	72.0	254.0	70947.0	16978.0	4776.0	4118197.0	4118197.0	4118197.0	21372.4	3584	0	0	148	11	6	1	0	0	14	1	0	0	59	1
SRR22878281.fastq_bin_1944003	92_0	1	85.36	1.44	3738231	0.36	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	CANMSI01		Neural Network (Specific Model)	11	0.927	16378	325.99436143219623	3547	307	61083		SRR22878281.fastq_bin_1944003	0.05	average	ANImf	92	SRR22878281.fastq_bin_1944003	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__CANMSI01;s__	36.38	69.0	216.0	61083.0	16378.0	5578.0	3738231.0	3738231.0	3738231.0	20480.4	3302	0	0	623	10	4	0	0	0	12	0	1	0	28	1
SRR22878281.fastq_bin_1964116	91_1	2	88.35	0.1	1217276	0.26	Bacteria	Patescibacteria	JAEDAM01	BD1-5	UBA6164	CAJXJP01		Gradient Boost (General Model)	4	0.906	27498	294.9542902967121	1247	78	67163		SRR22878281.fastq_bin_1964116	0.05	average	ANImf	91	SRR22878281.fastq_bin_1964116	d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__BD1-5;f__UBA6164;g__CAJXJP01;s__	26.25	16.0	51.0	67163.0	27498.0	7478.0	1217276.0	1217276.0	1217276.0	27645.9	1877	0	0	1744	1	1	0	0	0	17	0	0	0	27	0
SRR22878281.fastq_bin_2009255	28_0	1	76.88	2.03	3326077	0.56	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	CAJQQK01		Gradient Boost (General Model)	11	0.88	7419	278.494301994302	3510	545	41688		SRR22878281.fastq_bin_2009255	0.05	average	ANImf	28	SRR22878281.fastq_bin_2009255	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__CAJQQK01;s__	55.52	142.0	428.0	41688.0	7419.0	3282.0	3326077.0	3326077.0	3326077.0	9090.6	3212	0	0	1252	7	2	0	0	0	4	0	0	0	22	0
