analysis_accession	sample_accession	study_accession	analysis_title	tax_id	scientific_name	generated_ftp	submitted_ftp
ERZ501049	SAMN03398519	PRJEB25958	human skin metagenome 76	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501049/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501049/SRR1950705.fasta.gz
ERZ501052	SAMN03398503	PRJEB25958	human skin metagenome 79	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501052/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501052/SRR1950689.fasta.gz
ERZ501053	SAMN03398521	PRJEB25958	human skin metagenome 80	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501053/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501053/SRR1950707.fasta.gz
ERZ501054	SAMN03398586	PRJEB25958	human skin metagenome 81	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501054/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501054/SRR1950772.fasta.gz
ERZ501061	SAMN03398515	PRJEB25958	human skin metagenome 88	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501061/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501061/SRR1950701.fasta.gz
ERZ501062	SAMN03398583	PRJEB25958	human skin metagenome 89	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501062/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501062/SRR1950769.fasta.gz
ERZ501064	SAMN03398529	PRJEB25958	human skin metagenome 91	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501064/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501064/SRR1950715.fasta.gz
ERZ501067	SAMN03398527	PRJEB25958	human skin metagenome 94	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501067/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501067/SRR1950713.fasta.gz
ERZ500975	SAMN03398552	PRJEB25958	human skin metagenome 2	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500975/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500975/SRR1950738.fasta.gz
ERZ500977	SAMN03398581	PRJEB25958	human skin metagenome 4	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500977/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500977/SRR1950767.fasta.gz
ERZ500981	SAMN03398535	PRJEB25958	human skin metagenome 8	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500981/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500981/SRR1950721.fasta.gz
ERZ500983	SAMN03398542	PRJEB25958	human skin metagenome 10	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500983/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500983/SRR1950728.fasta.gz
ERZ500990	SAMN03398517	PRJEB25958	human skin metagenome 17	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500990/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500990/SRR1950703.fasta.gz
ERZ500992	SAMN03398597	PRJEB25958	human skin metagenome 19	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500992/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500992/SRR1950783.fasta.gz
ERZ500999	SAMN03398554	PRJEB25958	human skin metagenome 26	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500999/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500999/SRR1950740.fasta.gz
ERZ501001	SAMN03398595	PRJEB25958	human skin metagenome 28	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501001/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501001/SRR1950781.fasta.gz
ERZ501005	SAMN03398565	PRJEB25958	human skin metagenome 32	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501005/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501005/SRR1950751.fasta.gz
ERZ501006	SAMN03398551	PRJEB25958	human skin metagenome 33	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501006/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501006/SRR1950737.fasta.gz
ERZ501009	SAMN03398528	PRJEB25958	human skin metagenome 36	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501009/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501009/SRR1950714.fasta.gz
ERZ501013	SAMN03398545	PRJEB25958	human skin metagenome 40	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501013/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501013/SRR1950731.fasta.gz
ERZ501016	SAMN03398594	PRJEB25958	human skin metagenome 43	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501016/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501016/SRR1950780.fasta.gz
ERZ501017	SAMN03398577	PRJEB25958	human skin metagenome 44	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501017/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501017/SRR1950763.fasta.gz
ERZ501018	SAMN03398561	PRJEB25958	human skin metagenome 45	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501018/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501018/SRR1950747.fasta.gz
ERZ501021	SAMN03398553	PRJEB25958	human skin metagenome 48	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501021/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501021/SRR1950739.fasta.gz
ERZ501022	SAMN03398532	PRJEB25958	human skin metagenome 49	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501022/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501022/SRR1950718.fasta.gz
ERZ501024	SAMN03398501	PRJEB25958	human skin metagenome 51	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501024/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501024/SRR1950687.fasta.gz
ERZ501028	SAMN03398576	PRJEB25958	human skin metagenome 55	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501028/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501028/SRR1950762.fasta.gz
ERZ501029	SAMN03398604	PRJEB25958	human skin metagenome 56	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501029/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501029/SRR1950790.fasta.gz
ERZ501038	SAMN03398567	PRJEB25958	human skin metagenome 65	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501038/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501038/SRR1950753.fasta.gz
ERZ501040	SAMN03398575	PRJEB25958	human skin metagenome 67	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501040/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501040/SRR1950761.fasta.gz
ERZ501045	SAMN03398505	PRJEB25958	human skin metagenome 72	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501045/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501045/SRR1950691.fasta.gz
ERZ501047	SAMN03398593	PRJEB25958	human skin metagenome 74	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501047/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501047/SRR1950779.fasta.gz
ERZ501050	SAMN03398598	PRJEB25958	human skin metagenome 77	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501050/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501050/SRR1950784.fasta.gz
ERZ501051	SAMN03398511	PRJEB25958	human skin metagenome 78	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501051/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501051/SRR1950697.fasta.gz
ERZ501056	SAMN03398574	PRJEB25958	human skin metagenome 83	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501056/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501056/SRR1950760.fasta.gz
ERZ501057	SAMN03398509	PRJEB25958	human skin metagenome 84	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501057/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501057/SRR1950695.fasta.gz
ERZ501060	SAMN03398556	PRJEB25958	human skin metagenome 87	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501060/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501060/SRR1950742.fasta.gz
ERZ501065	SAMN03398569	PRJEB25958	human skin metagenome 92	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501065/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501065/SRR1950755.fasta.gz
ERZ500974	SAMN03398564	PRJEB25958	human skin metagenome 1	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500974/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500974/SRR1950750.fasta.gz
ERZ500978	SAMN03398513	PRJEB25958	human skin metagenome 5	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500978/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500978/SRR1950699.fasta.gz
ERZ500979	SAMN03398550	PRJEB25958	human skin metagenome 6	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500979/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500979/SRR1950736.fasta.gz
ERZ500980	SAMN03398570	PRJEB25958	human skin metagenome 7	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500980/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500980/SRR1950756.fasta.gz
ERZ500982	SAMN03398547	PRJEB25958	human skin metagenome 9	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500982/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500982/SRR1950733.fasta.gz
ERZ500984	SAMN03398592	PRJEB25958	human skin metagenome 11	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500984/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500984/SRR1950778.fasta.gz
ERZ500987	SAMN03398603	PRJEB25958	human skin metagenome 14	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500987/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500987/SRR1950789.fasta.gz
ERZ500988	SAMN03398507	PRJEB25958	human skin metagenome 15	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500988/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500988/SRR1950693.fasta.gz
ERZ500991	SAMN03398537	PRJEB25958	human skin metagenome 18	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500991/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500991/SRR1950723.fasta.gz
ERZ500995	SAMN03398540	PRJEB25958	human skin metagenome 22	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500995/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500995/SRR1950726.fasta.gz
ERZ500996	SAMN03398541	PRJEB25958	human skin metagenome 23	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500996/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500996/SRR1950727.fasta.gz
ERZ500997	SAMN03398524	PRJEB25958	human skin metagenome 24	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500997/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500997/SRR1950710.fasta.gz
ERZ500998	SAMN03398589	PRJEB25958	human skin metagenome 25	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ500/ERZ500998/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ500/ERZ500998/SRR1950775.fasta.gz
ERZ501003	SAMN03398600	PRJEB25958	human skin metagenome 30	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501003/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501003/SRR1950786.fasta.gz
ERZ501007	SAMN03398578	PRJEB25958	human skin metagenome 34	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501007/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501007/SRR1950764.fasta.gz
ERZ501010	SAMN03398525	PRJEB25958	human skin metagenome 37	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501010/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501010/SRR1950711.fasta.gz
ERZ501012	SAMN03398566	PRJEB25958	human skin metagenome 39	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501012/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501012/SRR1950752.fasta.gz
ERZ501014	SAMN03398602	PRJEB25958	human skin metagenome 41	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501014/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501014/SRR1950788.fasta.gz
ERZ501019	SAMN03398585	PRJEB25958	human skin metagenome 46	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501019/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501019/SRR1950771.fasta.gz
ERZ501023	SAMN03398596	PRJEB25958	human skin metagenome 50	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501023/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501023/SRR1950782.fasta.gz
ERZ501025	SAMN03398590	PRJEB25958	human skin metagenome 52	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501025/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501025/SRR1950776.fasta.gz
ERZ501026	SAMN03398531	PRJEB25958	human skin metagenome 53	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501026/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501026/SRR1950717.fasta.gz
ERZ501027	SAMN03398588	PRJEB25958	human skin metagenome 54	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501027/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501027/SRR1950774.fasta.gz
ERZ501030	SAMN03398599	PRJEB25958	human skin metagenome 57	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501030/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501030/SRR1950785.fasta.gz
ERZ501034	SAMN03398549	PRJEB25958	human skin metagenome 61	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501034/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501034/SRR1950735.fasta.gz
ERZ501041	SAMN03398573	PRJEB25958	human skin metagenome 68	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501041/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501041/SRR1950759.fasta.gz
ERZ501043	SAMN03398536	PRJEB25958	human skin metagenome 70	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501043/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501043/SRR1950722.fasta.gz
ERZ501044	SAMN03398546	PRJEB25958	human skin metagenome 71	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501044/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501044/SRR1950732.fasta.gz
ERZ501046	SAMN03398579	PRJEB25958	human skin metagenome 73	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501046/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501046/SRR1950765.fasta.gz
ERZ501055	SAMN03398538	PRJEB25958	human skin metagenome 82	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501055/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501055/SRR1950724.fasta.gz
ERZ501058	SAMN03398523	PRJEB25958	human skin metagenome 85	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501058/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501058/SRR1950709.fasta.gz
ERZ501059	SAMN03398555	PRJEB25958	human skin metagenome 86	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501059/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501059/SRR1950741.fasta.gz
ERZ501063	SAMN03398562	PRJEB25958	human skin metagenome 90	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501063/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501063/SRR1950748.fasta.gz
ERZ501066	SAMN03398591	PRJEB25958	human skin metagenome 93	539655	human skin metagenome	ftp.sra.ebi.ac.uk/vol1/sequence/ERZ501/ERZ501066/contig.fa.gz	ftp.sra.ebi.ac.uk/vol1/analysis/ERZ501/ERZ501066/SRR1950777.fasta.gz
