Name	Species-level MAG count	Completeness	Contamination	Genome Size	GC Content	Domain	Phylum	Class	Order	Family	Genus	Species
SRR22878281.fastq_bin_1299134	1	77.09	7.21	4561391	0.55	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae		
SRR22878281.fastq_bin_786708	1	99.99	0.01	3001157	0.57	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	CALLCD01	
SRR22878283.fastq_bin_597359	1	78.24	13.6	2696810	0.56	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	CALLCD01	
SRR22878283.fastq_bin_270555	1	94.42	0.1	2358580	0.53	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Maricaulaceae	CAKZTE01	
SRR22878283.fastq_bin_495986	1	97.83	1.62	2840074	0.51	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Maricaulaceae	CALFVT01	
SRR22878283.fastq_bin_770595	1	95.93	0.51	2674098	0.49	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Maricaulaceae	CALFVT01	
SRR22878281.fastq_bin_1360208	1	89.29	2.45	2372219	0.48	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Maricaulaceae	Hellea	
SRR22878281.fastq_bin_1532639	1	84.63	4.27	2581184	0.49	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Maricaulaceae	Hellea	Hellea sp020629875
SRR22878281.fastq_bin_1633526	1	90.72	4.27	2957249	0.5	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Maricaulaceae	JACOMS01	
SRR22878283.fastq_bin_27333	1	84.46	5.75	2674534	0.5	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Maricaulaceae	Litorimonas	
SRR22878283.fastq_bin_442058	1	99.0	11.64	3370057	0.5	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Maricaulaceae	Litorimonas	
SRR22878281.fastq_bin_34384	1	91.8	7.5	2988272	0.49	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Maricaulaceae	Robiginitomaculum_A	
SRR22878281.fastq_bin_2069221	1	83.08	0.31	3317590	0.49	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Parvularculaceae		
SRR22878283.fastq_bin_299277	1	90.24	0.58	2722517	0.57	Bacteria	Pseudomonadota	Alphaproteobacteria	Geminicoccales	Geminicoccaceae		
SRR22878283.fastq_bin_469571	1	99.62	0.04	3540428	0.54	Bacteria	Pseudomonadota	Alphaproteobacteria	Geminicoccales	Geminicoccaceae		
SRR22878281.fastq_bin_1327645	1	99.54	1.48	6081689	0.6	Bacteria	Pseudomonadota	Alphaproteobacteria	Geminicoccales	Geminicoccaceae	JANQPX01	
SRR22878281.fastq_bin_1506086	1	96.37	3.18	3723407	0.56	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	CALHAX01	CALHAX01	
SRR22878281.fastq_bin_870174	1	86.41	3.19	3383468	0.58	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	CALHAX01	CALHAX01	
SRR22878281.fastq_bin_1318659	1	100.0	0.08	4590481	0.57	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	CAJQQK01	
SRR22878281.fastq_bin_2009255	1	76.88	2.03	3326077	0.56	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	CAJQQK01	
SRR22878281.fastq_bin_976162	1	83.73	6.34	2975065	0.45	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	JAALLB01	
SRR22878283.fastq_bin_19238	1	88.75	0.7	2972941	0.42	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	JAALLB01	
SRR22878283.fastq_bin_319289	1	99.79	0.05	3758108	0.47	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	JAALLB01	
SRR22878281.fastq_bin_2091047	1	90.12	1.11	2421442	0.45	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Lentilitoribacter	Lentilitoribacter sp020628775
SRR22878283.fastq_bin_631081	1	88.0	17.87	5032269	0.55	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Aliishimia	
SRR22878281.fastq_bin_2131671	1	92.36	2.88	3888192	0.55	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	CALKXV01	
SRR22878281.fastq_bin_1047037	1	88.85	0.9	3654981	0.6	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudophaeobacter	
SRR22878281.fastq_bin_2019818	1	100.0	1.92	3263350	0.56	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	
SRR22878281.fastq_bin_725349	1	76.63	1.99	3979343	0.57	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	
SRR22878283.fastq_bin_450015	1	79.47	3.14	3299023	0.62	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Tateyamaria	
SRR22878281.fastq_bin_1190068	1	89.71	1.73	2922806	0.57	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter	
SRR22878283.fastq_bin_766374	1	94.55	0.69	3517508	0.56	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter	
SRR22878281.fastq_bin_2147531	1	93.9	2.05	3400018	0.51	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Parasphingorhabdus	
SRR22878281.fastq_bin_7512	1	94.36	0.02	3134850	0.51	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Parasphingorhabdus	
SRR22878281.fastq_bin_1415033	1	99.02	0.03	2137595	0.54	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus_B	
SRR22878283.fastq_bin_455268	1	96.22	2.9	2512388	0.43	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus_B	
SRR22878283.fastq_bin_468788	1	99.85	0.0	2599649	0.44	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus_B	
SRR22878281.fastq_bin_1048668	1	99.62	0.07	2677092	0.43	Bacteria	Pseudomonadota	Gammaproteobacteria	Arenicellales	Arenicellaceae	Arenicella	
SRR22878281.fastq_bin_1330403	1	99.02	0.07	2653612	0.46	Bacteria	Pseudomonadota	Gammaproteobacteria	Arenicellales	Arenicellaceae	Arenicella	
SRR22878281.fastq_bin_682652	1	96.85	0.96	2235463	0.44	Bacteria	Pseudomonadota	Gammaproteobacteria	Arenicellales	Arenicellaceae	Arenicella	
SRR22878282.fastq_bin_484164	1	96.11	0.97	4086077	0.46	Bacteria	Pseudomonadota	Gammaproteobacteria	Arenicellales	Arenicellaceae	Arenicella	
SRR22878282.fastq_bin_836214	2	92.15	0.42	3766948	0.44	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas	
SRR22878281.fastq_bin_1885024	1	92.94	2.19	4118197	0.41	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	Pseudoalteromonas atlantica
SRR22878281.fastq_bin_770814	2	84.7	0.81	3436356	0.4	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Pseudoalteromonas	Pseudoalteromonas marina
SRR22878283.fastq_bin_484169	1	98.6	5.13	3278880	0.42	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Psychrosphaera	
SRR22878283.fastq_bin_617325	1	100.0	2.95	3992849	0.38	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Thalassotalea_F	
SRR22878282.fastq_bin_370776	2	90.42	10.64	5221653	0.44	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	Vibrio cyclitrophicus
SRR22878283.fastq_bin_452711	1	100.0	1.56	7148864	0.57	Bacteria	Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	CAKZSB01	
SRR22878281.fastq_bin_1483024	1	83.91	6.04	6668004	0.47	Bacteria	Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	CAKZUP01	
SRR22878281.fastq_bin_1437311	1	96.57	0.56	4251695	0.5	Bacteria	Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	CALFCE01	
SRR22878283.fastq_bin_670273	1	100.0	2.53	6691166	0.52	Bacteria	Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	GCA-1730015	
SRR22878281.fastq_bin_1479957	1	99.13	3.72	3496563	0.5	Bacteria	Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus	
SRR22878283.fastq_bin_309632	1	100.0	1.25	5073252	0.48	Bacteria	Pseudomonadota	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus	
SRR22878281.fastq_bin_2040905	1	96.28	1.49	4781456	0.55	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Azotimanducaceae_A	CALHVX01	
SRR22878283.fastq_bin_293487	1	88.93	1.95	5013626	0.56	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Azotimanducaceae_A	JALZVT01	
SRR22878282.fastq_bin_754860	1	99.94	0.09	4804107	0.41	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae		
SRR22878282.fastq_bin_692197	1	100.0	1.86	5178681	0.45	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Agarilytica	
SRR22878283.fastq_bin_220	1	99.18	0.18	3599547	0.41	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	CANLBN01	
SRR22878282.fastq_bin_575448	1	92.69	0.0	4121463	0.4	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	GCA-2746115	
SRR22878283.fastq_bin_464441	1	82.92	5.39	3249151	0.48	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Marinagarivorans	
SRR22878283.fastq_bin_389652	1	99.92	4.59	4085326	0.45	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Marinagarivorans	Marinagarivorans algicola
SRR22878281.fastq_bin_861208	2	100.0	0.14	3928887	0.46	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Marinagarivorans	Marinagarivorans sp947494095
SRR22878281.fastq_bin_1875330	1	100.0	0.89	3039467	0.44	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	DSM-21967		
SRR22878282.fastq_bin_332620	1	96.5	0.56	2393338	0.48	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	GM7GCV1		
SRR22878282.fastq_bin_446643	1	79.58	2.47	1645677	0.49	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	GM7GCV1		
SRR22878281.fastq_bin_1475309	1	99.99	0.12	3230427	0.43	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter sp002377945
SRR22878281.fastq_bin_3891	2	91.67	0.39	2283108	0.39	Bacteria	Pseudomonadota	Gammaproteobacteria	UBA4575	UBA4575	JABDMD01	
SRR22878281.fastq_bin_1700770	1	81.36	8.04	3277101	0.46	Bacteria	Pseudomonadota	Gammaproteobacteria	UWMA-0217	UWMA-0217	CALIRD01	
SRR22878281.fastq_bin_1380972	1	87.76	3.1	4962372	0.55	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007		
SRR22878281.fastq_bin_1065179	1	87.59	0.36	5913631	0.64	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	JAUIGD01	
