MAG	Taxonomy	Cluster members	L50	N50 (kb)	Completeness	Contamination
SRR22878282.fastq_bin_610670	Maribacter_C (genus)	1	27	49.9	97.6%	0.63%
SRR22878283.fastq_bin_758824	Aquimarina (genus)	1	59	30.7	96.9%	2.07%
SRR22878281.fastq_bin_682652	Arenicella (genus)	1	24	31.1	96.8%	0.96%
SRR22878281.fastq_bin_1837401	Waterburya (genus)	1	72	26.0	96.7%	0.95%
SRR22878283.fastq_bin_626659	Bacteroidota (phylum)	1	137	7.9	96.7%	0.95%
SRR22878281.fastq_bin_1437311	CALFCE01 (genus)	1	32	42.3	96.6%	0.56%
SRR22878282.fastq_bin_332620	Pseudomonadota (phylum)	1	42	18.1	96.5%	0.56%
SRR22878281.fastq_bin_1506086	CALHAX01 (genus)	1	50	22.8	96.4%	3.18%
SRR22878281.fastq_bin_2040905	CALHVX01 (genus)	1	145	9.9	96.3%	1.49%
SRR22878283.fastq_bin_455268	Sphingorhabdus_B (genus)	1	9	110.2	96.2%	2.9%
SRR22878282.fastq_bin_484164	Arenicella (genus)	1	58	22.3	96.1%	0.97%
SRR22878283.fastq_bin_770595	CALFVT01 (genus)	1	7	150.9	95.9%	0.51%
SRR22878281.fastq_bin_742824	UBA4427 (genus)	1	79	15.4	95.9%	1.99%
SRR22878281.fastq_bin_1641228	Bdellovibrionota (phylum)	1	27	39.8	95.8%	1.02%
SRR22878282.fastq_bin_596555	Aquimarina (genus)	2	47	35.1	95.4%	0.32%
SRR22878281.fastq_bin_47153	JAHELU01 (genus)	1	76	22.8	95.3%	7.73%
SRR22878281.fastq_bin_1505020	CALDCK01 (genus)	1	10	109.9	94.9%	0.25%
SRR22878281.fastq_bin_1734399	Aridibacter (genus)	1	30	37.0	94.7%	1.07%
SRR22878283.fastq_bin_766374	Erythrobacter (genus)	1	43	23.9	94.6%	0.69%
SRR22878283.fastq_bin_8829	Wenyingzhuangia (genus)	1	8	121.3	94.5%	2.02%
SRR22878283.fastq_bin_270555	CAKZTE01 (genus)	1	58	11.6	94.4%	0.1%
SRR22878281.fastq_bin_7512	Parasphingorhabdus (genus)	1	44	24.7	94.4%	0.02%
SRR22878281.fastq_bin_1030637	CALEWY01 (genus)	1	30	52.2	94.3%	1.3%
SRR22878281.fastq_bin_1406449	CALDCK01 (genus)	1	95	14.1	94.2%	1.58%
SRR22878283.fastq_bin_374669	CALKXS01 (genus)	3	21	58.7	93.9%	0.08%
SRR22878281.fastq_bin_2147531	Parasphingorhabdus (genus)	1	45	22.4	93.9%	2.05%
SRR22878282.fastq_bin_894258	Maribacter litoralis	2	91	13.2	93.8%	1.52%
SRR22878281.fastq_bin_2694	Lacinutrix sp000211855	2	33	30.6	93.5%	1.84%
SRR22878281.fastq_bin_952057	UBA10347 (genus)	1	54	31.2	93.2%	0.9%
SRR22878281.fastq_bin_1885024	Pseudoalteromonas atlantica	1	72	17.0	92.9%	2.19%
SRR22878282.fastq_bin_575448	GCA-2746115 (genus)	1	27	52.0	92.7%	0.0%
SRR22878283.fastq_bin_361576	Aquimarina (genus)	1	14	90.9	92.6%	0.64%
SRR22878281.fastq_bin_2131671	CALKXV01 (genus)	1	83	13.2	92.4%	2.88%
SRR22878282.fastq_bin_836214	Alteromonas (genus)	2	56	20.5	92.2%	0.42%
SRR22878282.fastq_bin_901601	Dokdonia sp947496725	3	82	11.6	92.1%	1.48%
SRR22878281.fastq_bin_34384	Robiginitomaculum_A (genus)	1	34	28.3	91.8%	7.5%
SRR22878281.fastq_bin_3891	JABDMD01 (genus)	2	22	30.8	91.7%	0.39%
SRR22878281.fastq_bin_1177133	SHLQ01 (genus)	1	39	28.0	91.5%	1.3%
SRR22878281.fastq_bin_1315445	Olleya sediminilitoris	1	27	39.8	91.5%	1.34%
SRR22878281.fastq_bin_1633526	JACOMS01 (genus)	1	19	45.1	90.7%	4.27%
SRR22878282.fastq_bin_370776	Vibrio cyclitrophicus	2	153	9.9	90.4%	10.64%
SRR22878283.fastq_bin_563799	Aquimarina (genus)	1	39	23.8	90.3%	0.26%
SRR22878283.fastq_bin_299277	Pseudomonadota (phylum)	1	185	4.7	90.2%	0.58%
SRR22878281.fastq_bin_2091047	Lentilitoribacter sp020628775	1	113	7.0	90.1%	1.11%
SRR22878281.fastq_bin_1190068	Erythrobacter (genus)	1	72	12.5	89.7%	1.73%
SRR22878282.fastq_bin_870593	Polaribacter (genus)	1	66	16.3	89.6%	2.87%
SRR22878282.fastq_bin_649781	CANLOE01 (genus)	1	233	6.7	89.4%	0.23%
SRR22878283.fastq_bin_599096	Bacteroidota (phylum)	2	20	52.8	89.3%	0.9%
SRR22878281.fastq_bin_1360208	Hellea (genus)	1	73	8.8	89.3%	2.45%
SRR22878281.fastq_bin_1524409	Maribacter_C (genus)	1	45	23.2	89.3%	0.39%
SRR22878282.fastq_bin_892974	CAKZJW01 (genus)	1	135	6.7	89.2%	1.21%
SRR22878281.fastq_bin_760565	Tenacibaculum (genus)	2	59	25.7	89.1%	2.28%
SRR22878281.fastq_bin_1069559	SHLQ01 (genus)	1	39	34.0	89.0%	1.52%
SRR22878283.fastq_bin_293487	JALZVT01 (genus)	1	41	34.5	88.9%	1.95%
SRR22878281.fastq_bin_1047037	Pseudophaeobacter (genus)	1	66	16.1	88.8%	0.9%
SRR22878283.fastq_bin_19238	JAALLB01 (genus)	1	79	12.6	88.8%	0.7%
SRR22878281.fastq_bin_1070024	UBA10347 (genus)	1	50	35.3	88.6%	2.32%
SRR22878281.fastq_bin_1964116	CAJXJP01 (genus)	2	16	27.5	88.4%	0.1%
SRR22878281.fastq_bin_1078928	Waterburya (genus)	1	21	69.2	88.1%	2.75%
SRR22878283.fastq_bin_631081	Aliishimia (genus)	1	328	4.9	88.0%	17.87%
SRR22878281.fastq_bin_1380972	Verrucomicrobiota (phylum)	1	217	7.1	87.8%	3.1%
SRR22878281.fastq_bin_1065179	JAUIGD01 (genus)	1	205	9.1	87.6%	0.36%
SRR22878283.fastq_bin_492641	WTJY01 (genus)	2	245	6.7	87.0%	1.97%
SRR22878283.fastq_bin_681399	Croceitalea (genus)	1	50	18.6	86.9%	4.21%
SRR22878281.fastq_bin_2159216	Polaribacter sp002005425	2	186	3.9	86.5%	2.56%
SRR22878281.fastq_bin_870174	CALHAX01 (genus)	1	115	8.9	86.4%	3.19%
SRR22878283.fastq_bin_640648	Bdellovibrionota (phylum)	1	76	8.3	86.2%	3.6%
SRR22878281.fastq_bin_1874621	Hyella (genus)	1	95	12.2	85.9%	0.31%
SRR22878281.fastq_bin_1944003	CANMSI01 (genus)	1	69	16.4	85.4%	1.44%
SRR22878281.fastq_bin_770814	Pseudoalteromonas marina	2	82	12.8	84.7%	0.81%
SRR22878281.fastq_bin_1532639	Hellea sp020629875	1	117	6.9	84.6%	4.27%
SRR22878282.fastq_bin_2024	CALKXS01 (genus)	2	66	16.1	84.5%	0.61%
SRR22878283.fastq_bin_27333	Litorimonas (genus)	1	117	7.2	84.5%	5.75%
SRR22878281.fastq_bin_1272423	UBA4427 (genus)	1	108	7.0	84.4%	3.88%
SRR22878283.fastq_bin_7858	Wenyingzhuangia (genus)	1	31	27.6	84.3%	4.36%
SRR22878281.fastq_bin_1483024	CAKZUP01 (genus)	1	212	10.0	83.9%	6.04%
SRR22878281.fastq_bin_976162	JAALLB01 (genus)	1	70	13.8	83.7%	6.34%
SRR22878281.fastq_bin_2069221	Pseudomonadota (phylum)	1	108	10.0	83.1%	0.31%
SRR22878283.fastq_bin_464441	Marinagarivorans (genus)	1	236	4.6	82.9%	5.39%
SRR22878281.fastq_bin_6555	UBA10347 (genus)	1	186	8.5	82.7%	6.6%
SRR22878281.fastq_bin_2104421	Aquimarina (genus)	1	63	12.5	82.7%	0.2%
SRR22878281.fastq_bin_681284	AU392 (genus)	1	51	16.4	81.9%	0.95%
SRR22878281.fastq_bin_1700770	CALIRD01 (genus)	1	109	8.2	81.4%	8.04%
SRR22878281.fastq_bin_1355362	Maribacter_B vaceletii	1	93	8.8	81.2%	1.69%
SRR22878282.fastq_bin_446643	Pseudomonadota (phylum)	1	117	4.5	79.6%	2.47%
SRR22878283.fastq_bin_450015	Tateyamaria (genus)	1	239	4.3	79.5%	3.14%
SRR22878282.fastq_bin_289431	Aquimarina (genus)	1	89	9.7	79.4%	0.91%
SRR22878282.fastq_bin_335615	GYS-P2D (genus)	2	417	2.2	78.9%	2.67%
SRR22878283.fastq_bin_617109	JAHDBZ01 (genus)	1	145	2.1	78.7%	13.49%
SRR22878281.fastq_bin_1223417	Aridibacter (genus)	1	276	3.7	78.4%	1.78%
SRR22878283.fastq_bin_597359	CALLCD01 (genus)	1	102	8.7	78.2%	13.6%
SRR22878282.fastq_bin_939515	SHLQ01 (genus)	1	1223	1.8	78.0%	21.21%
SRR22878283.fastq_bin_262641	Ochrovirga (genus)	1	71	10.0	77.3%	6.44%
SRR22878282.fastq_bin_660044	Wenyingzhuangia (genus)	1	242	3.9	77.1%	20.31%
SRR22878281.fastq_bin_1299134	Planctomycetota (phylum)	1	179	8.3	77.1%	7.21%
SRR22878281.fastq_bin_2009255	CAJQQK01 (genus)	1	142	7.4	76.9%	2.03%
SRR22878281.fastq_bin_1348881	Dokdonia sp000355805	1	123	7.7	76.7%	5.27%
SRR22878281.fastq_bin_725349	Sulfitobacter (genus)	1	190	6.6	76.6%	1.99%
SRR22878283.fastq_bin_357648	Croceitalea (genus)	1	126	10.1	76.6%	18.46%
