MAG	Taxonomy	Cluster members	L50	N50 (kb)	Completeness	Contamination
ERR9966629_bin_1548	unclassified	1	32	14.4	14.6%	4.05%
ERR9966621_bin_6584	unclassified	1	60	4.1	14.5%	0.72%
ERR9966629_bin_1443	unclassified	1	40	9.5	13.6%	0.98%
ERR9966624_bin_404	unclassified	1	92	3.3	13.0%	3.0%
ERR9966629_bin_10805	unclassified	1	194	1.3	12.2%	0.14%
ERR9966621_bin_1706	unclassified	1	98	3.5	12.1%	0.93%
ERR9966627_bin_793	unclassified	1	178	1.9	11.8%	0.98%
ERR9966625_bin_35	unclassified	1	114	2.8	11.6%	0.06%
ERR9966621_bin_1050	unclassified	1	152	1.8	11.3%	0.1%
ERR9966625_bin_60	unclassified	1	112	2.8	10.2%	0.92%
ERR9966629_bin_1471	unclassified	1	44	8.9	9.9%	2.1%
ERR9966619_bin_170	unclassified	1	281	1.7	9.9%	0.95%
ERR9966625_bin_301	unclassified	1	17	4.4	9.8%	0.0%
ERR9966619_bin_298	unclassified	1	223	1.7	9.6%	0.98%
ERR9966629_bin_1352	unclassified	1	13	26.3	9.5%	0.88%
ERR9966621_bin_1098	unclassified	1	109	2.2	8.9%	0.13%
ERR9966625_bin_97	unclassified	1	90	2.8	8.6%	0.18%
ERR9966619_bin_83	unclassified	1	209	1.2	8.5%	0.06%
ERR9966619_bin_48	unclassified	1	28	1.8	8.3%	0.02%
ERR9966619_bin_59	unclassified	1	90	1.3	8.3%	0.0%
ERR9966624_bin_2443	unclassified	1	101	1.3	8.1%	0.02%
ERR9966628_bin_3175	unclassified	1	81	3.1	8.1%	0.08%
ERR9966626_bin_1866	unclassified	1	94	3.0	7.8%	0.11%
ERR9966629_bin_49	unclassified	1	38	1.4	7.2%	0.0%
ERR9966627_bin_61	unclassified	1	80	1.3	7.1%	0.0%
ERR9966616_bin_55	unclassified	1	15	7.0	6.8%	0.05%
ERR9966627_bin_671	unclassified	1	11	2.9	6.8%	0.0%
ERR9966625_bin_45	unclassified	1	99	2.9	6.6%	0.09%
ERR9966629_bin_1492	unclassified	1	39	8.0	6.5%	0.13%
ERR9966626_bin_1726	unclassified	1	54	3.4	6.5%	0.07%
ERR9966627_bin_639	unclassified	1	8	3.1	6.4%	0.0%
ERR9966619_bin_79	unclassified	1	25	1.3	6.4%	0.0%
ERR9966616_bin_5	unclassified	1	20	1.3	6.4%	0.0%
ERR9966616_bin_50	unclassified	1	18	1.4	6.4%	0.0%
ERR9966616_bin_7	unclassified	1	25	1.3	6.4%	0.0%
ERR9966619_bin_15	unclassified	1	17	1.4	6.4%	0.0%
ERR9966620_bin_19	unclassified	1	32	1.2	6.4%	0.0%
ERR9966621_bin_22	unclassified	2	9	1.7	6.4%	0.0%
ERR9966616_bin_38	unclassified	1	27	1.1	6.4%	0.0%
ERR9966626_bin_124	unclassified	1	24	1.7	6.4%	0.0%
ERR9966626_bin_25	unclassified	1	18	1.4	6.4%	0.0%
ERR9966626_bin_129	unclassified	1	21	1.2	6.4%	0.0%
ERR9966626_bin_40	unclassified	1	15	1.4	6.4%	0.0%
ERR9966627_bin_908	unclassified	1	17	1.3	6.4%	0.0%
ERR9966629_bin_9959	unclassified	1	30	1.1	6.4%	0.0%
ERR9966628_bin_94	unclassified	1	18	1.3	6.4%	0.0%
ERR9966629_bin_85	unclassified	1	31	1.2	6.1%	0.0%
ERR9966625_bin_291	unclassified	1	59	2.8	6.0%	0.03%
ERR9966620_bin_16	unclassified	1	22	1.3	6.0%	0.0%
ERR9966627_bin_744	unclassified	1	18	3.4	5.8%	0.0%
ERR9966629_bin_102	unclassified	1	57	1.3	5.7%	0.0%
ERR9966627_bin_724	unclassified	1	44	2.8	5.7%	0.0%
ERR9966625_bin_41	unclassified	1	78	2.8	5.5%	0.02%
ERR9966626_bin_121	unclassified	1	28	1.2	5.5%	0.0%
ERR9966625_bin_263	unclassified	1	66	2.8	5.5%	0.02%
ERR9966626_bin_93	unclassified	1	35	1.2	5.4%	0.0%
ERR9966625_bin_153	unclassified	1	232	2.8	5.3%	4.75%
ERR9966629_bin_9074	unclassified	1	157	1.5	5.2%	0.02%
ERR9966626_bin_2272	unclassified	1	57	3.3	5.2%	0.04%
ERR9966625_bin_38	unclassified	1	21	2.9	4.9%	0.0%
ERR9966625_bin_93	unclassified	1	56	2.8	4.8%	0.03%
ERR9966626_bin_22	unclassified	1	68	1.4	4.8%	0.01%
ERR9966619_bin_58	unclassified	1	42	1.6	4.8%	0.02%
ERR9966625_bin_89	unclassified	1	71	2.8	4.7%	0.02%
ERR9966625_bin_133	unclassified	1	12	4.1	4.7%	0.0%
ERR9966627_bin_716	unclassified	1	34	2.9	4.5%	0.01%
ERR9966625_bin_32	unclassified	1	55	2.9	4.5%	0.01%
ERR9966625_bin_113	unclassified	1	31	2.7	4.5%	0.0%
ERR9966616_bin_92	unclassified	1	43	2.8	4.5%	0.02%
ERR9966626_bin_2267	unclassified	1	35	3.3	4.3%	0.01%
ERR9966626_bin_74	unclassified	1	26	1.3	4.3%	0.0%
ERR9966626_bin_24	unclassified	1	53	1.5	4.2%	0.02%
ERR9966627_bin_63	unclassified	1	57	1.2	4.2%	0.0%
ERR9966623_bin_1792	unclassified	1	40	2.8	4.1%	0.01%
ERR9966629_bin_80	unclassified	1	25	1.2	4.1%	0.05%
ERR9966625_bin_412	unclassified	1	32	2.8	4.1%	0.0%
ERR9966629_bin_9956	unclassified	1	127	1.4	4.1%	0.01%
ERR9966619_bin_50	unclassified	1	27	1.3	3.9%	0.0%
ERR9966627_bin_594	unclassified	1	24	3.0	3.8%	0.0%
ERR9966628_bin_548	unclassified	1	24	5.0	3.7%	0.01%
ERR9966628_bin_230	unclassified	1	22	5.5	3.7%	0.01%
ERR9966626_bin_479	unclassified	1	18	2.7	3.7%	0.0%
ERR9966621_bin_537	unclassified	1	43	1.8	3.6%	0.0%
ERR9966629_bin_47	unclassified	1	16	1.4	3.4%	0.0%
ERR9966625_bin_267	unclassified	1	23	2.7	3.4%	0.0%
ERR9966626_bin_60	unclassified	1	45	1.7	3.4%	0.0%
ERR9966626_bin_48	unclassified	1	41	1.3	3.4%	0.0%
ERR9966627_bin_391	unclassified	1	47	1.2	3.3%	0.0%
ERR9966627_bin_728	unclassified	1	24	2.9	3.2%	0.0%
ERR9966626_bin_977	unclassified	1	23	1.3	3.2%	0.0%
ERR9966628_bin_5209	unclassified	1	54	1.8	3.2%	0.01%
ERR9966626_bin_34	unclassified	1	31	1.3	3.2%	0.0%
ERR9966628_bin_2534	unclassified	1	29	3.0	3.2%	0.0%
ERR9966628_bin_44	unclassified	1	24	1.2	3.2%	0.0%
ERR9966629_bin_70	unclassified	1	20	1.1	3.1%	0.0%
ERR9966627_bin_11	unclassified	1	23	1.2	3.1%	0.0%
ERR9966620_bin_86	unclassified	1	21	1.2	3.1%	0.0%
ERR9966627_bin_325	unclassified	1	25	2.6	3.0%	0.0%
ERR9966627_bin_736	unclassified	1	10	2.8	3.0%	0.0%
ERR9966626_bin_19	unclassified	1	36	1.3	2.9%	0.0%
ERR9966626_bin_97	unclassified	1	53	1.3	2.8%	0.0%
ERR9966629_bin_1541	unclassified	1	11	4.8	2.8%	0.01%
ERR9966625_bin_54	unclassified	1	10	2.7	2.8%	0.0%
ERR9966629_bin_64	unclassified	1	27	1.1	2.7%	0.0%
ERR9966626_bin_126	unclassified	1	44	1.3	2.7%	0.0%
ERR9966627_bin_740	unclassified	1	24	3.3	2.7%	0.01%
ERR9966626_bin_113	unclassified	1	72	1.4	2.7%	0.0%
ERR9966621_bin_1212	unclassified	1	12	2.5	2.7%	0.0%
ERR9966625_bin_393	unclassified	1	32	2.8	2.7%	0.0%
ERR9966626_bin_51	unclassified	1	22	1.5	2.7%	0.0%
ERR9966626_bin_1332	unclassified	1	13	3.0	2.6%	0.0%
ERR9966626_bin_70	unclassified	1	27	1.3	2.6%	0.0%
ERR9966620_bin_31	unclassified	1	15	1.7	2.6%	0.0%
ERR9966616_bin_10	unclassified	1	35	1.2	2.6%	0.04%
ERR9966626_bin_38	unclassified	1	26	1.4	2.6%	0.0%
ERR9966626_bin_36	unclassified	1	18	1.3	2.6%	0.0%
ERR9966626_bin_90	unclassified	1	21	1.2	2.6%	0.0%
ERR9966616_bin_77	unclassified	1	11	1.7	2.5%	0.0%
ERR9966619_bin_246	unclassified	1	15	2.8	2.5%	0.0%
ERR9966628_bin_903	unclassified	1	17	2.5	2.5%	0.0%
ERR9966626_bin_2432	unclassified	1	18	1.9	2.5%	0.0%
ERR9966628_bin_3418	unclassified	1	15	3.1	2.5%	0.0%
ERR9966628_bin_5118	unclassified	1	17	2.2	2.4%	0.0%
ERR9966626_bin_37	unclassified	1	41	1.3	2.4%	0.0%
ERR9966629_bin_1583	unclassified	1	9	4.7	2.4%	0.0%
ERR9966627_bin_820	unclassified	1	24	1.3	2.4%	0.0%
ERR9966629_bin_5949	unclassified	1	30	1.1	2.4%	0.0%
ERR9966627_bin_78	unclassified	1	41	1.2	2.4%	0.0%
ERR9966627_bin_748	unclassified	1	22	3.3	2.4%	0.0%
ERR9966627_bin_825	unclassified	1	29	1.4	2.4%	0.0%
ERR9966626_bin_1501	unclassified	1	7	5.7	2.4%	0.0%
ERR9966627_bin_821	unclassified	1	26	1.3	2.4%	0.0%
ERR9966623_bin_4963	unclassified	1	14	2.3	2.4%	0.0%
ERR9966625_bin_269	unclassified	1	9	3.0	2.4%	0.0%
ERR9966620_bin_676	unclassified	1	11	2.6	2.4%	0.0%
ERR9966629_bin_9198	unclassified	1	16	1.3	2.4%	0.0%
ERR9966625_bin_214	unclassified	1	13	2.9	2.4%	0.01%
ERR9966626_bin_61	unclassified	1	20	1.1	2.4%	0.0%
ERR9966629_bin_1597	unclassified	1	7	4.6	2.4%	0.0%
ERR9966620_bin_7	unclassified	1	17	1.4	2.4%	0.0%
ERR9966626_bin_69	unclassified	1	23	1.1	2.4%	0.0%
ERR9966627_bin_1000	unclassified	1	26	1.4	2.4%	0.0%
ERR9966628_bin_16	unclassified	1	45	1.4	2.3%	0.0%
ERR9966619_bin_63	unclassified	1	23	1.2	2.3%	0.0%
ERR9966629_bin_75	unclassified	1	26	1.4	2.3%	0.0%
ERR9966628_bin_2436	unclassified	1	9	3.1	2.3%	0.0%
ERR9966625_bin_129	unclassified	1	18	2.8	2.3%	0.0%
ERR9966629_bin_15	unclassified	1	17	1.3	2.2%	0.0%
ERR9966628_bin_23	unclassified	1	24	1.1	2.2%	0.0%
ERR9966621_bin_285	unclassified	1	10	2.5	1.7%	0.0%
ERR9966628_bin_68	unclassified	1	27	1.2	1.7%	0.0%
