Genome	SRR22878282.fastq Relative Abundance (%)
SRR22878281.fastq_bin_2147531	0
SRR22878281.fastq_bin_2694	0.6351143
SRR22878281.fastq_bin_34384	0.0072967946
SRR22878281.fastq_bin_3891	0.19797868
SRR22878281.fastq_bin_47153	0.09869465
SRR22878281.fastq_bin_6555	0
SRR22878281.fastq_bin_681284	0.019508366
SRR22878281.fastq_bin_682652	0.019388253
SRR22878281.fastq_bin_725349	0.009161329
SRR22878281.fastq_bin_742824	0
SRR22878281.fastq_bin_7512	0.01654425
SRR22878281.fastq_bin_760565	0.061338335
SRR22878281.fastq_bin_770814	0.5599334
SRR22878281.fastq_bin_770942	0.013084368
SRR22878281.fastq_bin_786708	0.005468
SRR22878281.fastq_bin_843222	0
SRR22878281.fastq_bin_861208	0.006298021
SRR22878281.fastq_bin_870174	0.0036390603
SRR22878281.fastq_bin_952057	0
SRR22878281.fastq_bin_976162	0.0038678693
SRR22878282.fastq_bin_11756	0.22131038
SRR22878282.fastq_bin_2024	0.26330912
SRR22878282.fastq_bin_289431	0.20712984
SRR22878282.fastq_bin_291065	0.23076914
SRR22878282.fastq_bin_332620	0.6080577
SRR22878282.fastq_bin_335615	0.18178113
SRR22878282.fastq_bin_370776	1.4249945
SRR22878282.fastq_bin_446643	0.36819088
SRR22878282.fastq_bin_484164	0.27462128
SRR22878282.fastq_bin_575448	0.6136201
SRR22878282.fastq_bin_590945	1.056184
SRR22878282.fastq_bin_596555	0.23936489
SRR22878282.fastq_bin_599023	0.29686427
SRR22878282.fastq_bin_610670	0.35210615
SRR22878282.fastq_bin_649781	0.17742378
SRR22878282.fastq_bin_660044	0.17990196
SRR22878282.fastq_bin_692197	0.29890913
SRR22878282.fastq_bin_754860	2.962576
SRR22878282.fastq_bin_836214	0.34976912
SRR22878282.fastq_bin_870593	0.6527835
SRR22878282.fastq_bin_885747	0.45093608
SRR22878282.fastq_bin_892601	0.42001158
SRR22878282.fastq_bin_892974	0.20661403
SRR22878282.fastq_bin_894258	0.67916083
SRR22878282.fastq_bin_901601	0.5740654
SRR22878282.fastq_bin_939515	0.14086787
SRR22878283.fastq_bin_19238	0
SRR22878283.fastq_bin_220	0
SRR22878283.fastq_bin_262641	0.0856509
SRR22878283.fastq_bin_270555	0.0060301805
SRR22878283.fastq_bin_27333	0.012373822
SRR22878283.fastq_bin_286550	0.014640838
SRR22878283.fastq_bin_288467	0
SRR22878283.fastq_bin_293487	0.069342285
SRR22878283.fastq_bin_299277	0.0038600748
SRR22878283.fastq_bin_309632	0.035646453
SRR22878283.fastq_bin_319289	0.008834141
SRR22878283.fastq_bin_357648	0.25504002
SRR22878283.fastq_bin_361576	0.008504615
SRR22878283.fastq_bin_374669	1.3890678
SRR22878283.fastq_bin_389652	0.0035324427
SRR22878283.fastq_bin_442058	0.020676216
SRR22878283.fastq_bin_450015	0.021221342
SRR22878283.fastq_bin_452711	0
SRR22878283.fastq_bin_455268	0.005848157
SRR22878283.fastq_bin_464441	0.011318666
SRR22878283.fastq_bin_468788	0
SRR22878283.fastq_bin_469571	0.0067738993
SRR22878283.fastq_bin_484169	0.079950824
SRR22878283.fastq_bin_492641	0.15787132
SRR22878283.fastq_bin_495986	0.0071215024
SRR22878283.fastq_bin_563799	0.0316506
SRR22878283.fastq_bin_597359	0
SRR22878283.fastq_bin_599096	0.39208615
SRR22878283.fastq_bin_617109	0.007445039
SRR22878283.fastq_bin_617325	0.09284214
SRR22878283.fastq_bin_626659	0
SRR22878283.fastq_bin_631081	0.017091192
SRR22878283.fastq_bin_640648	0.013950188
SRR22878283.fastq_bin_670273	0.005462807
SRR22878283.fastq_bin_681399	0.19240376
SRR22878283.fastq_bin_758824	0.01256497
SRR22878283.fastq_bin_766374	0.01887038
SRR22878283.fastq_bin_770595	0.003634714
SRR22878283.fastq_bin_7858	0.05046299
SRR22878283.fastq_bin_8829	0.023734665
