user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
DE04NGSUKBD140741Dm_binette_bin19.fasta	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__JAIRKI01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__JAIRKI01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	47.17	11	0.98445	N/A
DE04NGSUKBD140741Dm_binette_bin2.fasta	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMT01;s__JAIRMT01 sp031258505	GCA_031258505.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMT01;s__JAIRMT01 sp031258505	98.13	0.871	GCA_031258505.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMT01;s__JAIRMT01 sp031258505	98.13	0.871	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMT01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_031281685.1, s__JAIRMT01 sp031281685, 95.0, 89.93, 0.528; GCA_031266875.1, s__JAIRMT01 sp031266875, 95.0, 87.54, 0.414; GCA_031279205.1, s__JAIRMT01 sp031279205, 95.0, 86.89, 0.394; GCA_031267685.1, s__JAIRMT01 sp031267685, 95.0, 86.53, 0.371	88.48	11	N/A	N/A
DE04NGSUKBD140741Dm_binette_bin20.fasta	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__JAIRLM01;g__JAIRMB01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__JAIRLM01;g__JAIRMB01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	47.83	11	0.95614	N/A
DE04NGSUKBD140741Dm_binette_bin21.fasta	d__Bacteria;p__Elusimicrobiota;c__Endomicrobiia;o__Endomicrobiales;f__Endomicrobiaceae;g__Endomicrobium_A;s__	N/A	N/A	N/A	N/A	N/A	GCA_031282625.1	95.0	d__Bacteria;p__Elusimicrobiota;c__Endomicrobiia;o__Endomicrobiales;f__Endomicrobiaceae;g__Endomicrobium_A;s__Endomicrobium_A sp031282625	96.29	0.529	d__Bacteria;p__Elusimicrobiota;c__Endomicrobiia;o__Endomicrobiales;f__Endomicrobiaceae;g__Endomicrobium_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_031267795.1, s__Endomicrobium_A sp031267795, 95.0, 96.46, 0.557; GCA_031283985.1, s__Endomicrobium_A sp031283985, 95.0, 94.24, 0.343; GCA_031278405.1, s__Endomicrobium_A sp031278405, 95.0, 94.04, 0.328; GCA_031264425.1, s__Endomicrobium_A sp031264425, 95.0, 93.9, 0.343; GCA_031278115.1, s__Endomicrobium_A sp031278115, 95.0, 93.86, 0.273	51.5	11	0.96878	Genome has more than 16.7% of markers with multiple hits
DE04NGSUKBD140741Dm_binette_bin22.fasta	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMY01;s__	N/A	N/A	N/A	N/A	N/A	GCA_031258335.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMY01;s__JAIRMY01 sp031258335	93.9	0.376	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMY01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	50.84	11	0.97811	N/A
DE04NGSUKBD140741Dm_binette_bin23.fasta	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__JAIRLC01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__JAIRLC01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	50.63	11	0.98666	N/A
DE04NGSUKBD140741Dm_binette_bin24.fasta	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRLK01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRLK01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	40.54	11	0.96226	N/A
DE04NGSUKBD140741Dm_binette_bin25.fasta	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__LL51;g__JAIDVZ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_031257495.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__LL51;g__JAIDVZ01;s__JAIDVZ01 sp031257495	94.9	0.483	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__LL51;g__JAIDVZ01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_031258795.1, s__JAIDVZ01 sp031258795, 95.0, 89.21, 0.302	33.51	11	0.99356	N/A
DE04NGSUKBD140741Dm_binette_bin26.fasta	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__Termitinema;s__	N/A	N/A	N/A	N/A	N/A	GCA_031257695.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__Termitinema;s__Termitinema sp031257695	96.09	0.331	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__Termitinema;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	36.39	11	0.98778	N/A
DE04NGSUKBD140741Dm_binette_bin27.fasta	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRNN01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRNN01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	38.03	11	0.98241	N/A
DE04NGSUKBD140741Dm_binette_bin28.fasta	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMY01;s__	N/A	N/A	N/A	N/A	N/A	GCA_031258615.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMY01;s__JAIRMY01 sp031258615	96.56	0.518	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMY01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	48.96	11	0.99263	N/A
DE04NGSUKBD140741Dm_binette_bin3.fasta	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRRR01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRRR01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	86.65	11	0.94613	N/A
DE04NGSUKBD140741Dm_binette_bin30.fasta	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__JAITMY01;s__	N/A	N/A	N/A	N/A	N/A	GCA_031257655.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__JAITMY01;s__JAITMY01 sp031257655	97.74	0.465	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__JAITMY01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	46.32	11	0.99859	N/A
DE04NGSUKBD140741Dm_binette_bin31.fasta	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
DE04NGSUKBD140741Dm_binette_bin32.fasta	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
DE04NGSUKBD140741Dm_binette_bin33.fasta	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
DE04NGSUKBD140741Dm_binette_bin4.fasta	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Propionivibrio;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Propionivibrio;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	62.86	4	0.97009	N/A
DE04NGSUKBD140741Dm_binette_bin5.fasta	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__JAITMY01;s__	N/A	N/A	N/A	N/A	N/A	GCA_031257655.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__JAITMY01;s__JAITMY01 sp031257655	94.07	0.431	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__JAITMY01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	92.06	11	0.98768	N/A
DE04NGSUKBD140741Dm_binette_bin6.fasta	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAISFT01;s__JAISFT01 sp031258265	GCA_031258265.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAISFT01;s__JAISFT01 sp031258265	96.75	0.709	GCA_031258265.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAISFT01;s__JAISFT01 sp031258265	96.75	0.709	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAISFT01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	69.55	11	N/A	N/A
DE04NGSUKBD140741Dm_binette_bin7.fasta	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Azobacteroidaceae;g__WRFZ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_031257875.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Azobacteroidaceae;g__WRFZ01;s__WRFZ01 sp031257875	94.55	0.423	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Azobacteroidaceae;g__WRFZ01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	82.07	11	0.98853	N/A
DE04NGSUKBD140741Dm_binette_bin8.fasta	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAISFT01;s__JAISFT01 sp031258225	GCA_031258225.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAISFT01;s__JAISFT01 sp031258225	97.65	0.763	GCA_031258225.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAISFT01;s__JAISFT01 sp031258225	97.65	0.763	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAISFT01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_031278715.1, s__JAISFT01 sp031278715, 95.0, 86.18, 0.245	73.35	11	N/A	N/A
DE04NGSUKBD140741Dm_binette_bin9.fasta	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMO01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__JAIRMO01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_031278575.1, s__JAIRMO01 sp031278575, 95.0, 86.65, 0.192; GCA_031283755.1, s__JAIRMO01 sp031283755, 95.0, 86.35, 0.271; GCA_031275595.1, s__JAIRMO01 sp031275595, 95.0, 85.95, 0.247; GCA_031282145.1, s__JAIRMO01 sp031282145, 95.0, 83.83, 0.156	78.45	11	0.96329	N/A
DE15NGSUKBD140737Dm_binette_bin1.fasta	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
DE16NGSUKBD140719Sc_binette_bin1.fasta	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__Wolbachia sp000829315	GCF_000829315.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__Wolbachia sp000829315	95.76	0.654	GCF_000829315.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__Wolbachia sp000829315	95.76	0.654	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Anaplasmataceae;g__Wolbachia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_031281335.1, s__Wolbachia sp031281335, 95.0, 94.87, 0.69; GCA_031266615.1, s__Wolbachia sp031266615, 95.0, 94.59, 0.605; GCA_028571325.1, s__Wolbachia sp028571325, 95.0, 94.29, 0.569; GCA_031286185.1, s__Wolbachia sp031286185, 95.0, 93.76, 0.605; GCF_023661085.1, s__Wolbachia sp902636395, 95.0, 93.34, 0.6; GCF_020278625.1, s__Wolbachia sp020278625, 95.0, 91.5, 0.578; GCF_012277315.1, s__Wolbachia sp012277315, 95.0, 87.04, 0.222; GCF_030373985.1, s__Wolbachia pipientis_D, 95.0, 85.43, 0.215; GCA_031284675.1, s__Wolbachia sp031284675, 95.0, 84.47, 0.182	84.57	11	N/A	N/A
DE20NGSUKBD140744Dm_binette_bin3.fasta	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
DE20NGSUKBD140744Dm_binette_bin4.fasta	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
DE20NGSUKBD140744Dm_binette_bin5.fasta	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
DE20NGSUKBD140744Dm_binette_bin6.fasta	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
DE26NGSUKBD140733Dm_binette_bin1.fasta	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__Truepera;s__Truepera radiovictrix	GCF_000092425.1	95.0	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__Truepera;s__Truepera radiovictrix	99.97	0.995	GCF_000092425.1	95.0	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__Truepera;s__Truepera radiovictrix	99.97	0.995	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__Truepera;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	87.25	11	N/A	N/A
DE26NGSUKBD140733Dm_binette_bin2.fasta	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
DE31NGSUKBD140740Dm_binette_bin1.fasta	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
DE31NGSUKBD140740Dm_binette_bin3.fasta	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
DE31NGSUKBD140740Dm_binette_bin4.fasta	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
DE47NGSUKBD140743Dm_binette_bin3.fasta	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.4%)
DE47NGSUKBD140743Dm_binette_bin4.fasta	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
DE47NGSUKBD140743Dm_binette_bin5.fasta	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
DE47NGSUKBD140743Dm_binette_bin6.fasta	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
DE47NGSUKBD140743Dm_binette_bin7.fasta	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
DE63NGSUKBD140746Dm_binette_bin2.fasta	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
DE63NGSUKBD140746Dm_binette_bin3.fasta	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
DE63NGSUKBD140746Dm_binette_bin4.fasta	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
DE63NGSUKBD140746Dm_binette_bin5.fasta	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
DE74NGSUKBD140742Dm_binette_bin1.fasta	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
DE74NGSUKBD140742Dm_binette_bin2.fasta	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.8%)
DE74NGSUKBD140742Dm_binette_bin3.fasta	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (0.5%)
DE74NGSUKBD140742Dm_binette_bin4.fasta	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
